NGS-1272	04.06.2021	ILLUMINA	HIGH 1X75	custom library	Cut and Tag	I.Talianidis	E.Tachmatzidi	i7-1	WT, DEN treated, H3K9me3, Mouse liver nuclei	18431371	18431371	18431371	18431371	18431371
NGS-1273	04.06.2021	ILLUMINA	HIGH 1X75	custom library	Cut and Tag	I.Talianidis	E.Tachmatzidi	i7-2	WT, DEN treated, H3K9me3, Mouse liver nuclei	19067322	19067322	19067322	19067322	19067322
NGS-1274	04.06.2021	ILLUMINA	HIGH 1X75	custom library	Cut and Tag	I.Talianidis	E.Tachmatzidi	i7-3	WT, DEN treated, H3K27ac, Mouse liver nuclei	11421824	11421824	11421824	11421824	11421824
NGS-1275	04.06.2021	ILLUMINA	HIGH 1X75	custom library	Cut and Tag	I.Talianidis	E.Tachmatzidi	i7-4	WT, DEN treated, H3K27ac, Mouse liver nuclei	11178206	11178206	11178206	11178206	11178206
NGS-1276	04.06.2021	ILLUMINA	HIGH 1X75	custom library	Cut and Tag	I.Talianidis	E.Tachmatzidi	i7-5	WT, DEN treated, H4K20me3, Mouse liver nuclei	14092429	14092429	14092429	14092429	14092429
NGS-1277	04.06.2021	ILLUMINA	HIGH 1X75	custom library	Cut and Tag	I.Talianidis	E.Tachmatzidi	i7-6	WT, DEN treated, H4K20me3, Mouse liver nuclei	13678275	13678275	13678275	13678275	13678275
NGS-1278	04.06.2021	ILLUMINA	HIGH 1X75	custom library	Cut and Tag	I.Talianidis	E.Tachmatzidi	i7-7	WT, DEN treated, IgG Negative Control, Mouse liver nuclei	5949012	5949012	5949012	5949012	5949012
NGS-1279	04.06.2021	ILLUMINA	HIGH 1X75	custom library	Cut and Tag	I.Talianidis	E.Tachmatzidi	i7-8	WT, DEN treated, Usp22 (Millipore MABE579), Mouse liver nuclei	8716047	8716047	8716047	8716047	8716047
NGS-1280	04.06.2021	ILLUMINA	HIGH 1X75	custom library	Cut and Tag	I.Talianidis	E.Tachmatzidi	i7-9	WT, DEN treated, Usp22 (Abcam ab109435), Mouse liver nuclei	8974536	8974536	8974536	8974536	8974536
NGS-1281	04.06.2021	ILLUMINA	HIGH 1X75	custom library	Cut and Tag	I.Talianidis	E.Tachmatzidi	i7-10	WT, DEN treated, RNA pol II (Euromedex PB-7G5), Mouse liver nuclei	6944170	6944170	6944170	6944170	6944170
NGS-1282	04.06.2021	ILLUMINA	HIGH 1X75	custom library	Cut and Tag	I.Talianidis	E.Tachmatzidi	i7-11	WT, DEN treated, H2Bub, Mouse liver nuclei	2297787	2297787	2297787	2297787	2297787
