NGS-1180	GFP + Setdb1ko, H3k9me3 , mouse intestinal nuclei
NGS-1181	GFP + Setdb1ko, H3k27ac trl, mouse intestinal nuclei
NGS-1182	Mouse int. epith. Nuclei, B6-a-H3K9Me3
NGS-1183	GFP - Setdb1ko, H3k9me3 , mouse intestinal nuclei
NGS-1184	GFP - Setdb1ko, H3k27ac ctr, mouse intestinal nuclei
NGS-1185	GFP - Setdb1ko, H3K4me3 ctrl, mouse intestinal nuclei
NGS-1186	GFP - Setdb1ko, IgG negative ctrl, mouse intestinal nuclei
NGS-1187	GFP + Setdb1wt, H3k9me3 , mouse intestinal nuclei
NGS-1188	GFP + Setdb1wt , H3k27ac trl, mouse intestinal nuclei
NGS-1189	Mouse liver nuclei unfixed, B6 , a-H3K9Me3
NGS-1190	Mouse liver nuclei unfixed, B6, a-H3K20Me3
NGS-1191	GFP - Setdb1wt, H3k27ac ctr, mouse intestinal nuclei
