	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Pclaf	0	1.66561227484507	0.92	0.343	0
Stmn1	0	1.3241834939021	0.998	0.715	0
Dut	0	1.15472285843002	0.938	0.459	0
Lig1	0	1.14151538081569	0.787	0.227	0
Pcna	0	1.10636741921266	0.854	0.331	0
Tyms	0	1.08786287546586	0.873	0.381	0
Hells	0	1.08003550246344	0.748	0.231	0
Siva1	0	1.07194935923273	0.839	0.351	0
Olfm4	0	1.01074622365894	0.985	0.63	0
Dek	0	0.982021303995223	0.943	0.552	0
Slbp	0	0.94967105017843	0.814	0.367	0
Tk1	0	0.949383935955271	0.766	0.265	0
Gmnn	0	0.896979277530666	0.819	0.394	0
Nap1l1	0	0.895468589355947	0.801	0.365	0
Tubb5	0	0.891078859206566	0.967	0.617	0
Rfc4	0	0.881150740569288	0.762	0.311	0
Top2a	0	0.879712321187233	0.725	0.276	0
Atad2	0	0.853501698285066	0.576	0.142	0
Hist1h1b	1.54836811210161E-255	0.842122723551399	0.634	0.301	2.64662561401529E-251
Slfn9	0	0.804774292129768	0.526	0.111	0
Hist1h2ap	4.26637681857984E-244	0.80301732739577	0.611	0.293	7.29251789599852E-240
Ifitm3	8.31523460801939E-298	0.800653184003814	0.911	0.572	1.42132305154875E-293
Hat1	0	0.784567035856917	0.66	0.235	0
Dnajc9	0	0.78310450360614	0.697	0.275	0
Ranbp1	0	0.782841378457446	0.982	0.769	0
Dctpp1	0	0.773798693857263	0.918	0.582	0
Hmgn1	0	0.77122882271884	0.961	0.663	0
Rrm2	0	0.763429664828411	0.514	0.132	0
Tuba1b	0	0.748126845388866	0.802	0.406	0
Rfc2	0	0.740347656570398	0.728	0.319	0
Nasp	0	0.738630998281853	0.752	0.352	0
Cd74	6.67938560142802E-142	0.732708932888555	0.789	0.562	1.14170738085209E-137
Mcm6	0	0.713605311308876	0.563	0.181	0
Rpa2	0	0.711858681676972	0.582	0.189	0
Tipin	0	0.711153221941977	0.604	0.208	0
Rfc3	0	0.700592605888953	0.642	0.25	0
Mcm7	0	0.692735043380913	0.624	0.239	0
Prim1	0	0.68447350049769	0.558	0.179	0
Mif	0	0.684275216348424	0.985	0.826	0
Mcm3	0	0.68158633691239	0.526	0.154	0
Dtymk	8.14841456921867E-280	0.678407478588597	0.816	0.486	1.39280850231655E-275
Esco2	0	0.674178529219726	0.442	0.117	0
Orc6	0	0.673520524594039	0.593	0.22	0
Ncl	7.84519690729064E-255	0.657200928592208	0.964	0.777	1.34097950736319E-250
Clspn	0	0.653884441945974	0.413	0.072	0
Mcm5	0	0.652744255366811	0.503	0.15	0
Fen1	0	0.6503045355023	0.556	0.199	0
Smc2	9.98717884480795E-297	0.646110030515576	0.621	0.26	1.70710847994302E-292
Gins2	0	0.645329737337712	0.521	0.16	0
Syce2	0	0.643459357821834	0.5	0.145	0
Chaf1b	0	0.64294853491805	0.466	0.106	0
Psip1	0	0.633020152214738	0.616	0.25	0
Pbk	5.20897734879149E-295	0.63027871952804	0.551	0.21	8.90370498228929E-291
Nudc	8.33353705671568E-243	0.617489987927782	0.88	0.59	1.42445148910441E-238
Ifitm2	7.47205416294439E-302	0.610286342529458	0.991	0.852	1.27719821807208E-297
Npm1	0	0.605483156091189	0.998	0.911	0
Snrpd1	5.11287426900994E-260	0.602822689399936	0.957	0.723	8.73943598801869E-256
Dhfr	0	0.591233370721323	0.529	0.188	0
Cdk4	1.64247632943494E-245	0.589237989358876	0.908	0.626	2.80748478990314E-241
Cenph	0	0.584966157017727	0.438	0.113	0
Anp32b	3.62713439236274E-257	0.584689966037886	0.981	0.775	6.19986081686563E-253
Sumo2	6.93921274906001E-269	0.582802833569162	0.978	0.817	1.18611963519683E-264
Rad51ap1	0	0.582000774164705	0.387	0.077	0
Asf1b	0	0.57306152184113	0.446	0.133	0
Nhp2	2.25729158006213E-227	0.572286223585119	0.94	0.691	3.85838849780019E-223
Ascl2	3.12173575307024E-238	0.560085448100053	0.546	0.226	5.33598292272297E-234
Rad51	0	0.553221095922235	0.401	0.102	0
Cyba	3.4019374668181E-157	0.550868533025143	0.787	0.522	5.81493171203218E-153
Ptma	0	0.549356489333741	1	0.986	0
Jaml	2.07182956797987E-212	0.547171866420483	0.845	0.495	3.54137828054799E-208
Hist1h2ae	8.93377607813181E-144	0.542541341007577	0.552	0.305	1.52705034503507E-139
Cenpk	0	0.539890753309802	0.444	0.134	0
Apex1	7.16321283407101E-193	0.538787651683378	0.712	0.403	1.22440796972776E-188
H2-Aa	4.78528826385654E-114	0.538331066071455	0.432	0.223	8.17949322940998E-110
Lsm2	3.85592279660306E-190	0.538031534904523	0.8	0.503	6.59092883623362E-186
Ccdc34	3.07184553205668E-179	0.538021795918345	0.921	0.635	5.25070556794448E-175
Rnaseh2a	8.98393316094546E-229	0.534994031841233	0.629	0.306	1.53562369520041E-224
H2afz	5.96153788809436E-245	0.534078057259076	1	0.945	1.01900567121197E-240
Rfc5	2.08462475508818E-251	0.532175469678813	0.52	0.212	3.56324909387223E-247
Csrp2	2.92994695175448E-209	0.531870485797938	0.978	0.79	5.00815832463393E-205
Cenpm	1.5214299258434E-252	0.531269460858065	0.496	0.194	2.60058017224412E-248
Ppil1	3.5331005525875E-214	0.530674433010936	0.671	0.349	6.03912877453782E-210
Fbxo5	2.16584963552167E-292	0.529758332721972	0.381	0.112	3.70208678199719E-288
Cbx5	1.0182164675688E-210	0.528361297977791	0.551	0.257	1.74043740801535E-206
Snu13	4.47411939486438E-207	0.528316709085518	0.935	0.731	7.64761228164168E-203
Rbbp7	2.52261138839636E-186	0.525448547767771	0.767	0.484	4.3118996461859E-182
Fkbp3	9.15624361116316E-188	0.523321779297174	0.874	0.606	1.56507672045612E-183
Mcm4	0	0.521935258834304	0.401	0.114	0
Phgdh	1.73962649489248E-232	0.521811656114794	0.505	0.207	2.97354356771972E-228
Cdt1	0	0.521582395182506	0.407	0.109	0
Topbp1	4.74690503631167E-245	0.521545354344494	0.463	0.177	8.11388477856753E-241
Cdca7	6.99925420762377E-219	0.516763076040368	0.69	0.349	1.19638252170913E-214
Clca3b	2.06514591703025E-196	0.515593478544884	0.773	0.439	3.52995391597981E-192
Dscc1	0	0.515427931711316	0.331	0.053	0
Tfdp1	1.86392928336022E-224	0.514577599985354	0.536	0.235	3.18601432404762E-220
Rrm1	1.37675354330307E-284	0.509710483949387	0.43	0.141	2.35328483156794E-280
Dhrs4	3.76991128232406E-163	0.508375774561565	0.91	0.68	6.44390935487651E-159
Smc6	1.47406534860432E-207	0.507791903720527	0.61	0.304	2.51961990036936E-203
Hpf1	4.15022483142342E-204	0.507777602284216	0.653	0.342	7.09397930435205E-200
Gm43305	1.02334437551671E-86	0.507204955086682	0.536	0.342	1.74920254107071E-82
Cd81	3.56505865174648E-192	0.503253570164433	0.959	0.748	6.09375475343026E-188
Ran	3.49003847847878E-208	0.497863195156514	0.991	0.868	5.96552277126378E-204
Rpa3	1.21570247988391E-176	0.496550835143076	0.661	0.374	2.07800024886557E-172
Spc24	6.03898154420578E-182	0.494750197423916	0.669	0.35	1.03224311535109E-177
U2af1	3.4530687771141E-174	0.494068328932116	0.9	0.667	5.90233046072112E-170
Hspd1	1.70594027564208E-184	0.490643397781598	0.99	0.831	2.915963713155E-180
Set	2.71656680382975E-168	0.48930768081479	0.932	0.744	4.6434276377862E-164
H2-Eb1	4.61678579839976E-117	0.486141560361507	0.514	0.283	7.89147196520472E-113
Srsf7	1.69191204124934E-171	0.484032525028171	0.909	0.679	2.89198525210749E-167
Isyna1	2.02592952945146E-162	0.483475234286776	0.724	0.437	3.46292134469138E-158
Ezh2	2.75337858964556E-212	0.482008695411422	0.507	0.219	4.70635002328116E-208
Usp1	2.77848263457468E-175	0.477671965094124	0.529	0.258	4.7492603672785E-171
Rbbp4	4.31771875304629E-182	0.476880188403017	0.579	0.292	7.38027666458203E-178
Hmgb1	2.24511960286666E-178	0.475267783466107	0.993	0.874	3.83758293717998E-174
Impdh2	8.99079648259189E-174	0.474896144879122	0.892	0.621	1.53679684276943E-169
Selenoh	1.13548281210885E-167	0.47276062833727	0.777	0.476	1.94088077073766E-163
Srsf3	2.78571053162956E-159	0.472318477729682	0.942	0.767	4.7616150117144E-155
Dnmt1	3.29372075089279E-268	0.468902187165018	0.391	0.123	5.62995687950105E-264
Pa2g4	4.85284519393274E-149	0.462812860863872	0.813	0.548	8.29496828998923E-145
Ung	1.19899001824691E-242	0.459225879731023	0.347	0.105	2.04943363818944E-238
Haus4	1.52954205286279E-225	0.456408705815188	0.403	0.146	2.61444623095837E-221
Rfc1	5.67510356815003E-178	0.456184507862606	0.558	0.275	9.70045452903885E-174
Cps1	2.12380422551811E-143	0.454639449666643	0.84	0.57	3.63021856267811E-139
Hook1	4.19772523111613E-135	0.454069206437538	0.695	0.439	7.17517173754679E-131
Hsp90aa1	1.03067410560302E-155	0.454037588419351	0.91	0.692	1.76173124870724E-151
Eef1b2	6.33701444200389E-298	0.453460252422698	1	0.975	1.08318587857172E-293
Hspe1	1.15155357309624E-185	0.45155658549222	0.998	0.893	1.9683505224934E-181
Alyref	7.77052719837625E-141	0.448679643817266	0.766	0.493	1.32821621401845E-136
Shmt1	1.4159372403617E-172	0.444057236941016	0.494	0.231	2.42026152495026E-168
Hist1h1e	5.9234463923141E-96	0.443497688038696	0.57	0.358	1.01249469183825E-91
Paics	3.81606577933144E-212	0.440267382093381	0.453	0.178	6.52280123661123E-208
Ncapd3	1.59506031611259E-217	0.438991064499647	0.393	0.143	2.72643659833124E-213
Exosc8	1.109730963718E-154	0.438061212340112	0.625	0.345	1.89686313628318E-150
Tfam	4.04643646438738E-144	0.433927465661398	0.672	0.404	6.91657384857735E-140
Tsen34	1.4697983972464E-153	0.43311830360122	0.596	0.324	2.51232640041327E-149
Cenps	3.3077421642082E-248	0.432839366602413	0.36	0.113	5.65392368128107E-244
Fgfbp1	2.83976248610858E-144	0.430091464975348	0.631	0.352	4.8540060175054E-140
Aarsd1	2.05113185002056E-143	0.425997399182481	0.674	0.404	3.50599967124014E-139
Lsm3	3.24985209252248E-147	0.425942417997864	0.727	0.441	5.55497218174867E-143
Gnl3	1.78418228609439E-136	0.425540633643848	0.591	0.334	3.04970278162114E-132
Ptges3	1.25549877264198E-121	0.424184503391556	0.723	0.477	2.14602405207693E-117
Nrtn	5.02858492996237E-182	0.423925236819926	0.417	0.168	8.59536022078468E-178
Smc4	3.4110819669798E-159	0.423354060886204	0.589	0.3	5.83056240615857E-155
Fam111a	1.54185263106697E-301	0.423193963401933	0.271	0.058	2.63548870228278E-297
Gar1	8.65708492546584E-140	0.421765113952145	0.661	0.392	1.47975552630988E-135
Gm47283	5.98869196642235E-116	0.420889363939656	0.454	0.239	1.02364711782057E-111
Hmgb2	5.8180365424829E-174	0.419086035647275	0.974	0.677	9.94476986206602E-170
Kcne3	5.50722211854986E-132	0.418109665217955	0.762	0.489	9.41349476723728E-128
Timm8a1	7.23843208092709E-123	0.417227648021333	0.796	0.546	1.23726519559287E-118
Nrm	8.09479100773983E-241	0.414803934466741	0.347	0.107	1.38364262695297E-236
Fbl	9.84428117705608E-128	0.414358078644278	0.809	0.562	1.6826829815942E-123
Prmt1	4.59847275107929E-128	0.410603122498242	0.81	0.561	7.86016947341984E-124
Hnrnpf	2.16411191828007E-145	0.409746066680265	0.967	0.823	3.69911650191613E-141
Tcf19	0	0.407486637801741	0.26	0.047	0
Ndufaf2	1.79860048237911E-128	0.404500852275154	0.674	0.415	3.07434780453062E-124
Gpx2	3.05874692998227E-129	0.403444032655478	0.992	0.892	5.22831612741869E-125
Rbmxl1	6.46502429685191E-133	0.399402158334181	0.51	0.269	1.1050666030609E-128
Nsmce4a	1.20653586324223E-123	0.398001275724491	0.751	0.496	2.06233175103994E-119
Uhrf1	7.05963036305279E-275	0.396490586227287	0.269	0.061	1.20670261795661E-270
Ccne1	0	0.396186401143453	0.263	0.044	0
H2-Ab1	1.17295734510616E-72	0.395874290880286	0.526	0.341	2.00493598998996E-68
Hirip3	5.95859291504046E-206	0.395420764933792	0.336	0.112	1.01850228696787E-201
Hmgb3	1.74579331009338E-124	0.393092003119049	0.781	0.511	2.98408450494261E-120
Snrpe	1.54688098911632E-141	0.392156368082447	0.975	0.822	2.64408367469652E-137
Cbx3	3.80282965088612E-110	0.39191463877458	0.77	0.532	6.50017672225964E-106
Wdr76	9.28509677948348E-260	0.391712870573067	0.282	0.069	1.58710159251711E-255
Impa2	6.42333356091664E-157	0.389591471329261	0.448	0.205	1.09794040556748E-152
Dtl	4.28903469996452E-291	0.388822770817668	0.268	0.057	7.33124701264936E-287
Trp53	1.51149626432108E-124	0.388441047762237	0.566	0.32	2.58360056460402E-120
Lsm8	1.45652108526769E-122	0.388006774841882	0.641	0.391	2.48963149104807E-118
Lyar	9.62555662831226E-115	0.386093304473469	0.664	0.412	1.64529639447741E-110
H2afy	2.066667750701E-115	0.38544780509989	0.872	0.663	3.53255518627321E-111
Cdk1	1.829827140698E-163	0.384069218569538	0.573	0.273	3.1277235315951E-159
Cenpw	7.37944821916342E-126	0.383517345523377	0.569	0.315	1.2613690841016E-121
Smc1a	2.37622678544953E-106	0.38331110657331	0.653	0.418	4.06168444436887E-102
Ssrp1	7.63386885099353E-128	0.383234061991545	0.556	0.309	1.30485720270032E-123
Rnaseh2b	2.27144606865257E-148	0.382991803219464	0.441	0.206	3.88258276514784E-144
Bcl7c	2.10779360398745E-115	0.382617963793444	0.677	0.422	3.60285160729575E-111
Rpsa	4.04824898833057E-263	0.382479640660549	1	0.996	6.91967199575344E-259
Prdx4	2.62491373624784E-107	0.382205069502995	0.737	0.495	4.48676504936843E-103
Lmnb1	8.60379459189412E-131	0.380595946470408	0.518	0.272	1.47064660959246E-126
Hnrnpab	1.51584335185695E-115	0.380064481346002	0.87	0.66	2.59103104132908E-111
Exosc7	4.28717243122833E-108	0.377980775186436	0.733	0.496	7.32806383669859E-104
