"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Dbi"	0	0.563833986918774	1	0.962	0
"Cenpf"	0	0.794534453518591	0.678	0.198	0
"Tubb4b"	0	1.17660365115348	0.995	0.744	0
"Spc25"	0	0.631238742491444	0.506	0.111	0
"Ccdc34"	0	0.741381762763615	0.975	0.633	0
"Knl1"	0	0.565361085332252	0.484	0.112	0
"Nusap1"	0	0.955436731587005	0.684	0.158	0
"Tpx2"	0	0.413442667483353	0.364	0.082	0
"Ube2c"	0	1.70229684220809	0.957	0.367	0
"Aurka"	0	0.808853119211795	0.602	0.131	0
"Ccna2"	0	0.722933119113233	0.631	0.164	0
"Smc4"	0	0.820857642614326	0.784	0.285	0
"Cks1b"	0	0.586802352140821	0.653	0.248	0
"Cenpe"	0	0.454041388191911	0.415	0.103	0
"H2afz"	0	0.962478095141108	1	0.945	0
"Melk"	0	0.445398736671402	0.4	0.097	0
"Smc2"	0	0.786195930882032	0.758	0.251	0
"Cdc20"	0	0.809949632868951	0.657	0.189	0
"Cdca8"	0	0.981168579201581	0.85	0.283	0
"Sfn"	0	0.736454006415732	0.829	0.386	0
"Rbp7"	0	1.34730848013155	0.835	0.237	0
"Tyms"	0	0.762928073847162	0.828	0.389	0
"Cenpa"	0	0.948469937475604	0.776	0.255	0
"Tacc3"	0	0.477027010023059	0.449	0.123	0
"Ran"	0	0.680101201055765	1	0.868	0
"Cycs"	0	0.70783911482423	0.984	0.759	0
"Lsm3"	0	0.752622303389193	0.862	0.431	0
"Cdca3"	0	1.10012219165981	0.898	0.317	0
"Ube2s"	0	1.11440276594622	0.99	0.651	0
"Ldha"	0	0.715879761614888	0.998	0.84	0
"Prc1"	0	0.952694050248711	0.684	0.16	0
"Arl6ip1"	0	1.01624277797849	0.94	0.58	0
"Plk1"	0	0.557011807977947	0.467	0.103	0
"Kif22"	0	0.488839183497165	0.417	0.1	0
"Pycard"	0	0.894392043411776	1	0.898	0
"Dmbt1"	0	1.29819632542417	0.936	0.402	0
"Mki67"	0	0.591428741768068	0.586	0.172	0
"Shcbp1"	0	0.47104115609898	0.398	0.094	0
"Hmgb2"	0	1.28578197585998	1	0.677	0
"Cmc2"	0	0.628223459111172	0.704	0.274	0
"Cdkn2d"	0	0.411919377487712	0.332	0.069	0
"Spc24"	0	0.905921005107179	0.859	0.336	0
"H2afx"	0	1.29553688826127	0.933	0.401	0
"Cox5a"	0	0.584895715169766	1	0.96	0
"Kif23"	0	0.472784324175177	0.426	0.11	0
"Pclaf"	0	1.24713397177842	0.922	0.348	0
"Ccnb2"	0	0.699705002683732	0.711	0.267	0
"Cenpw"	0	0.598610835627543	0.726	0.303	0
"Cdk1"	0	1.06036617719607	0.821	0.253	0
"Ppia"	0	0.458571830860111	1	0.993	0
"Hmmr"	0	0.655410177022125	0.533	0.111	0
"Hint1"	0	0.53958426465644	1	0.953	0
"Aurkb"	0	0.734723011099395	0.569	0.131	0
"Atp5g1"	0	0.576811230376473	1	0.977	0
"Top2a"	0	1.11194416839407	0.836	0.271	0
"Krt19"	0	0.66519262863261	1	0.915	0
"H3f3b"	0	0.586793620625493	1	0.984	0
"Tk1"	0	0.877418218883143	0.779	0.269	0
"Birc5"	0	1.51805418027182	0.977	0.356	0
"Rrm2"	0	0.648667792250115	0.509	0.136	0
"Arg2"	0	0.744177608663934	0.743	0.278	0
"Hist1h1b"	0	1.22448737039579	0.767	0.293	0
"Hist1h2ap"	0	1.06203149011253	0.765	0.283	0
"Hist1h2ae"	0	0.750335286020952	0.695	0.295	0
"Hist1h1e"	0	0.84183772385812	0.741	0.345	0
"Cks2"	0	1.01080806867927	0.939	0.437	0
"Ccnb1"	0	0.577551123572836	0.508	0.136	0
"Cdkn3"	0	0.680818330698454	0.575	0.184	0
"Pbk"	0	0.851128387586848	0.714	0.199	0
"Esco2"	0	0.639690546580572	0.487	0.117	0
"Cyc1"	0	0.619030730611143	0.998	0.863	0
"H1f0"	0	0.881800275687999	0.941	0.606	0
"Tuba1b"	0	0.781490179067281	0.874	0.403	0
"Tuba1c"	0	0.604910652031001	0.624	0.232	0
"Racgap1"	0	0.47725459328828	0.434	0.108	0
"Lsm2"	0	0.694465068769339	0.896	0.497	0
"Calm2"	0	0.683317956612476	0.997	0.887	0
"Incenp"	0	0.518446088517445	0.471	0.127	0
"Kif11"	0	0.54012507481585	0.452	0.108	0
"Asf1b"	5.49122801869917e-302	0.492173472981528	0.453	0.136	9.3861560523625e-298
"Glod5"	1.53060391521406e-299	0.65398654080476	0.88	0.465	2.61626127227539e-295
"Sgo1"	1.34043193041915e-298	0.411000690892008	0.392	0.105	2.29120029866544e-294
"Mrpl18"	1.46455537654829e-297	0.663827786183035	0.969	0.692	2.503364505134e-293
"Krt18"	2.78585079897368e-295	-1.46351119081868	0.888	0.913	4.76185477068572e-291
"Smim24"	4.08721176161165e-294	0.680974047222066	0.978	0.718	6.9862710641228e-290
"Mrpl51"	6.21826794050567e-293	0.67408645962473	0.942	0.635	1.06288853907063e-288
"Ndufab1"	9.02264873703652e-292	0.573149864880697	0.996	0.877	1.54224134862165e-287
"Ranbp1"	4.74805435368982e-287	0.667878719920355	0.989	0.771	8.11584930676201e-283
"Txn1"	1.31714718672519e-285	0.517337811666525	1	0.962	2.25139968626937e-281
"Atp5o"	4.93591177751418e-284	0.509410842301277	1	0.943	8.43695400130499e-280
"Cox5b"	5.38778504754939e-281	0.472406047324835	1	0.962	9.20934098177617e-277
"Lmnb1"	4.33605597672689e-277	0.546562070514204	0.651	0.262	7.41162048101928e-273
"Prdx1"	1.4831682832825e-272	0.463478855055542	1	0.956	2.53517954661478e-268
"Ndufa5"	1.6876539943749e-269	0.588905906236101	0.994	0.817	2.88470697258502e-265
"Lockd"	2.03239635037847e-269	0.433430005827251	0.463	0.148	3.47397508170191e-265
"Nqo1"	2.50036886476733e-267	0.386420549174291	0.367	0.1	4.27388050054679e-263
"Mrpl12"	1.21643675213884e-264	0.586329163230922	0.99	0.819	2.07925534043092e-260
"Cdk2ap2"	1.37030817431229e-264	0.651750080783265	0.873	0.513	2.342267762352e-260
"Gna11"	8.86694249500779e-263	0.597805779225362	0.882	0.492	1.51562648067168e-258
"Csrp2"	1.51667107382641e-262	0.610312994326362	0.992	0.791	2.59244586649148e-258
"Pnp2"	1.6175128647208e-255	0.47012470629948	0.598	0.232	2.76481473966727e-251
"Atp5d"	2.3778091325169e-254	0.439339342436182	1	0.968	4.06438915021114e-250
"Fth1"	3.17466134736624e-254	0.379329223662517	1	0.996	5.42644864105311e-250
"Atp5k"	8.61512823861907e-254	0.508628977413186	0.999	0.913	1.47258386982716e-249
"Fbxo5"	6.11986564621838e-253	0.409985160272536	0.387	0.114	1.04606863490811e-248
"Jpt1"	1.22737583285028e-251	0.599892852962518	0.985	0.815	2.09795351109099e-247
"Crip1"	2.37811090951776e-250	0.429555948435521	1	0.921	4.0649049776387e-246
"Uqcrq"	5.32973566244982e-250	0.455577022690991	1	0.965	9.11011716782547e-246
"Nucks1"	7.7002751494699e-250	0.628612691000286	0.937	0.604	1.31620803129889e-245
"Cnih4"	7.34138666483152e-249	0.61670277377368	0.874	0.516	1.25486322261965e-244
"Atp5j2"	1.66572869129368e-245	0.443883723400362	1	0.966	2.84723005202829e-241
"Uqcrfs1"	4.54216833090455e-245	0.544603012792862	0.99	0.817	7.76392832801514e-241
"Prap1"	4.64853500556696e-245	0.601556437113003	0.987	0.768	7.94574088501561e-241
"Atp5f1"	1.65622222637264e-244	0.488897148988175	1	0.921	2.83098065153876e-240
"Ywhah"	3.41450820986225e-242	0.602083298172744	0.899	0.562	5.83641888311754e-238
