"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Olfm4"	0	2.0969723838417	0.988	0.599	0	"0"	"Olfm4"
"Gkn3"	0	1.39736755594104	0.513	0.211	0	"0"	"Gkn3"
"Ifitm3"	0	1.36433828059576	0.878	0.549	0	"0"	"Ifitm3"
"Jaml"	0	1.19769103945778	0.807	0.473	0	"0"	"Jaml"
"2410006H16Rik"	0	1.19169156185345	0.893	0.709	0	"0"	"2410006H16Rik"
"Slc12a2"	0	1.18757271454052	0.717	0.437	0	"0"	"Slc12a2"
"Clca3b"	0	1.04910743467697	0.685	0.427	0	"0"	"Clca3b"
"Gas5"	0	0.979686780161535	0.965	0.894	0	"0"	"Gas5"
"Zfas1"	0	0.935247582308466	0.632	0.425	0	"0"	"Zfas1"
"2210407C18Rik"	0	0.921296597787311	0.628	0.401	0	"0"	"2210407C18Rik"
"1110038B12Rik"	0	0.909229113941045	0.697	0.53	0	"0"	"1110038B12Rik"
"Cdca7"	0	0.906947941314318	0.591	0.339	0	"0"	"Cdca7"
"Igfbp4"	0	0.857975513504681	0.43	0.178	0	"0"	"Igfbp4"
"Npm1"	0	0.746149415769374	0.977	0.907	0	"0"	"Npm1"
"Ifitm2"	0	0.720011358516447	0.945	0.849	0	"0"	"Ifitm2"
"Oat"	0	0.709075948254452	0.95	0.849	0	"0"	"Oat"
"Hsp90ab1"	0	0.707023978708291	0.995	0.981	0	"0"	"Hsp90ab1"
"Rps5"	0	0.666958620740004	0.998	0.994	0	"0"	"Rps5"
"Rps9"	0	0.64045406653278	0.997	0.994	0	"0"	"Rps9"
"Rps20"	0	0.639394186441435	1	0.998	0	"0"	"Rps20"
"Eef1b2"	0	0.63499382476274	0.987	0.976	0	"0"	"Eef1b2"
"Rpl10a"	0	0.622984920839357	0.997	0.993	0	"0"	"Rpl10a"
"Rpl36a"	0	0.61581007240021	0.988	0.969	0	"0"	"Rpl36a"
"Rpsa"	0	0.604050320424207	0.999	0.996	0	"0"	"Rpsa"
"Rps28"	0	0.599141517488441	0.996	0.993	0	"0"	"Rps28"
"Rps7"	0	0.597684044061445	0.998	0.995	0	"0"	"Rps7"
"Eef1a1"	0	0.595184887047264	0.999	0.996	0	"0"	"Eef1a1"
"Rps19"	0	0.586738310377519	0.997	0.99	0	"0"	"Rps19"
"Rpl3"	0	0.581299453275046	0.997	0.986	0	"0"	"Rpl3"
"Rpl12"	0	0.579632878872406	0.992	0.984	0	"0"	"Rpl12"
"Rplp0"	0	0.573496958291122	0.999	0.995	0	"0"	"Rplp0"
"Rps4x"	0	0.571481367844792	0.998	0.994	0	"0"	"Rps4x"
"Rpl39"	0	0.552207483919063	0.995	0.99	0	"0"	"Rpl39"
