	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Fabp6	0	6.26228344811162	0.684	0.103	0
Reg3b	0	4.63668883301215	0.897	0.251	0
Reg3g	0	4.15692644299141	0.978	0.356	0
Spink1	0	2.65184655217032	0.886	0.142	0
Clec2h	0	2.3861270536229	0.901	0.156	0
Slc51a	0	2.22752058184679	0.875	0.125	0
Apoa1	2.81492545606776E-138	2.22611973552397	0.51	0.131	4.81155208205662E-134
Lgals3	0	2.19025438686273	0.92	0.198	0
2200002D01Rik	7.11101276728913E-260	2.18230005073461	0.989	0.578	1.21548541231273E-255
Mgat4c	0	2.0284133224463	0.692	0.019	0
Krt19	1.21627904488457E-268	2.02106467735661	1	0.921	2.07898577142119E-264
St3gal4	0	1.96990560876573	0.92	0.223	0
Reg3a	0	1.87095449609194	0.647	0.063	0
Slc51b	0	1.86067795647487	0.725	0.051	0
Bcl2l15	0	1.81399706689203	0.819	0.108	0
Serpinb6a	2.59652971426444E-244	1.75138185114169	0.989	0.574	4.4382482405922E-240
Sis	3.78847084877959E-270	1.73858671595089	0.761	0.165	6.47563322181896E-266
Krt8	3.2255326102401E-264	1.73139066754492	1	0.982	5.5134028906834E-260
Cndp2	0	1.69432879241086	0.794	0.159	0
Anxa2	4.38924645478982E-220	1.69284021769285	0.97	0.451	7.50253896517223E-216
Krt20	0	1.68512314453101	0.849	0.17	0
Crip1	3.04773728413718E-225	1.64776173618046	1	0.927	5.20949733977568E-221
Gna11	4.15539097179941E-219	1.62024157464588	0.974	0.516	7.10280978809673E-215
Phgr1	4.88895377845134E-223	1.61858858120272	0.998	0.924	8.35668869350688E-219
S100a10	4.72641466244712E-232	1.59475610220508	1	0.85	8.07886058252086E-228
Serpinb1a	1.79292992663641E-214	1.58233569437476	0.994	0.71	3.06465512359961E-210
Ccl25	6.0149403832778E-192	1.54194987311991	0.991	0.696	1.02813375971367E-187
Agpat2	9.34843246624931E-212	1.51524463330349	0.854	0.305	1.597927561456E-207
Myl12b	7.98554714484622E-220	1.51002970605384	0.994	0.792	1.36496957346857E-215
Cd74	1.42735765971976E-144	1.50448541392425	0.97	0.575	2.43978244775898E-140
Smim24	3.75917051690814E-151	1.47345455146994	0.987	0.735	6.42555016455108E-147
Car4	2.92135076347788E-244	1.466585775399	0.733	0.17	4.99346486001274E-240
Ces2e	2.15693715206466E-231	1.45429609818831	0.824	0.233	3.68685267402412E-227
Cyp4f14	1.15207167152556E-254	1.43943209207295	0.742	0.168	1.96923610813864E-250
Hist1h2bc	5.09033503414794E-162	1.42603256614735	0.94	0.484	8.70090967386907E-158
Sult1b1	4.18569607617207E-209	1.41143502475145	0.826	0.27	7.15461030300092E-205
Sult2b1	3.79885354787225E-236	1.38941071573846	0.733	0.182	6.49338036937804E-232
Ckmt1	1.42103077929078E-152	1.38368484825574	0.961	0.638	2.42896791104173E-148
Mep1b	0	1.36619042657344	0.596	0.055	0
Cdkn2b	0	1.3590153512218	0.768	0.151	0
Gsdmc4	0	1.33264690056465	0.548	0.04	0
Naaladl1	0	1.32935378819704	0.535	0.043	0
Dgat1	3.60812785966851E-167	1.32849356234223	0.852	0.359	6.16737295053138E-163
Plac8	6.11617968199751E-151	1.32634922748504	0.996	0.923	1.04543859304383E-146
Apol10a	0	1.30639398576364	0.63	0.052	0
Mgst1	3.78579408359568E-155	1.27323568165661	0.978	0.696	6.47105782709009E-151
Glod5	4.29061937525012E-137	1.26356490239524	0.901	0.492	7.33395569811503E-133
Prxl2b	4.64351259290911E-163	1.26015273075371	0.901	0.412	7.93715607505954E-159
Gdpd1	1.46397647924282E-155	1.25949618838622	0.843	0.387	2.50237499596976E-151
Cmbl	8.4610001983076E-199	1.23385447399775	0.781	0.238	1.44623876389672E-194
Lypd8	1.20180904768166E-150	1.22831723968295	0.994	0.915	2.05425220520225E-146
Cox7a1	1.82494125324752E-176	1.19448793871343	0.712	0.202	3.11937208417599E-172
Slc7a9	2.76168666976374E-286	1.16200606651103	0.628	0.107	4.72055102462716E-282
Lgals4	4.82815395425873E-215	1.15827142559266	1	0.989	8.25276355401445E-211
Maoa	1.34527352184507E-138	1.1555245401083	0.753	0.288	2.29947603088978E-134
Anpep	7.53266804620711E-148	1.1310433854974	0.486	0.109	1.28755894913818E-143
Sat1	1.16604341556897E-140	1.12502303639185	0.796	0.333	1.99311801023205E-136
