"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Rpl7"	0	-1.76048108297652	0.96	0.991	0
"Cox5b"	0	-1.82322292666827	0.885	0.968	0
"Rpl31"	0	-1.50246612936434	0.865	0.96	0
"Eef1b2"	0	-1.66625584767695	0.911	0.98	0
"Rpl37a"	0	-1.57836736766996	0.976	0.996	0
"Ptma"	0	-2.06644302270723	0.962	0.988	0
"Ramp1"	0	0.398264588654684	0.739	0.135	0
"Dbi"	0	-1.8894232535437	0.896	0.968	0
"Itln1"	0	5.61291497929618	0.997	0.468	0
"Mptx2"	0	4.25254790390375	0.744	0.076	0
"H3f3a"	0	-1.83754729412095	0.834	0.968	0
"Atp5c1"	0	-1.65255209282327	0.796	0.936	0
"Rpl7a"	0	-1.78986527500955	0.932	0.984	0
"Rpl12"	0	-1.74113481824611	0.964	0.986	0
"Rpl35"	0	-1.40442845206798	0.922	0.972	0
"Atp5g3"	0	-1.58401908215575	0.784	0.923	0
"Serf2"	0	-1.11699747515874	0.979	0.985	0
"Dstn"	0	-1.56632002544199	0.759	0.902	0
"Atp5e"	0	-1.38523577149731	0.948	0.98	0
"Psma7"	0	-1.57645761842595	0.765	0.923	0
"Rps21"	0	-1.61566513501878	0.983	0.996	0
"Rpl22l1"	0	-1.49571428153821	0.833	0.951	0
"Rps3a1"	0	-1.86889211761134	0.987	0.998	0
"Rps27"	0	-1.59089610144538	0.924	0.984	0
"Reg4"	0	2.00432715301423	0.951	0.09	0
"Tent5c"	0	0.67119625327615	0.586	0.028	0
"Atp5f1"	0	-1.77269941189034	0.792	0.933	0
"Rpl34"	0	-1.62399990355843	0.984	0.997	0
"Gng5"	0	-1.39944198079083	0.863	0.937	0
"Rps20"	0	-1.67861321949504	0.996	0.999	0
"Spink4"	0	1.22254557140734	1	0.866	0
"Txn1"	0	-2.07357035764279	0.862	0.969	0
"Rps6"	0	-1.56546947819087	0.918	0.974	0
"Uqcrh"	0	-1.71601955356934	0.9	0.978	0
"Prdx1"	0	-1.90940928926327	0.88	0.963	0
"Rps8"	0	-1.75643084062091	0.998	0.999	0
"Ybx1"	0	-1.84811251633152	0.883	0.972	0
"Guca2b"	0	1.62835593019446	0.935	0.214	0
"Atpif1"	0	-1.86452009857877	0.862	0.978	0
"Rpl11"	0	-1.67520221790635	0.992	0.997	0
"Rpl22"	0	-1.67631365723588	0.932	0.987	0
"Rpl9"	0	-1.68842803293866	0.988	0.997	0
"Plac8"	0	-2.02102220743352	0.716	0.933	0
"Rpl5"	0	-1.53491513758176	0.93	0.977	0
"Atp5k"	0	-1.62100065221574	0.788	0.926	0
"Cox6a1"	0	-1.66488661611848	0.69	0.898	0
"Rplp0"	0	-1.7772921631416	0.989	0.996	0
"Rpl6"	0	-1.80721591907881	0.988	0.998	0
"Chchd2"	0	-1.84472043018383	0.932	0.985	0
"Mdh2"	0	-1.65744635231903	0.78	0.911	0
"Actb"	0	-1.79681966195126	0.899	0.978	0
"Bhlha15"	0	0.308587114233768	0.305	0.016	0
"Atp5j2"	0	-1.71432802153605	0.893	0.972	0
"Rpl21"	0	-1.71088735009235	0.988	0.997	0
"Sem1"	0	-1.48110073899377	0.752	0.913	0
"Ndufa4"	0	-1.66601868004595	0.907	0.974	0
"Hnrnpa2b1"	0	-1.58202128542846	0.767	0.903	0
"Serbp1"	0	-1.53006926740686	0.771	0.907	0
"Rpl32"	0	-1.59960371627911	0.999	0.999	0
"Gapdh"	0	-1.65852282831548	0.761	0.92	0
"Rps9"	0	-1.81736615677076	0.976	0.995	0
"Rpl28"	0	-1.75549444770246	0.99	0.998	0
"Rps5"	0	-1.83610775336207	0.981	0.996	0
"Apoc2"	0	0.578323718535835	0.619	0.082	0
"Rps19"	0	-1.69405966547377	0.977	0.992	0
"Rps16"	0	-1.70068741777751	0.992	0.997	0
"Lgals4"	0	-2.21184254394077	0.945	0.991	0
"Cox6b1"	0	-1.80926104570603	0.859	0.97	0
"Rps11"	0	-1.86330062134775	0.976	0.996	0
"Rpl13a"	0	-1.44590903285962	0.969	0.988	0
"Ftl1"	0	-1.29189630642717	0.963	0.985	0
"Rpl18"	0	-1.6739639009427	0.995	0.998	0
"Rps17"	0	-1.60647588813453	0.929	0.977	0
"Rps3"	0	-1.77513479706178	0.974	0.994	0
"Eif3f"	0	-1.62363713652614	0.782	0.951	0
"Rpl27a"	0	-1.84110498544195	0.984	0.997	0
"Rps13"	0	-1.70823417554933	0.98	0.996	0
"Nucb2"	0	0.361579655457793	0.494	0.062	0
"Rps15a"	0	-1.77697645124689	0.978	0.995	0
"Ndufab1"	0	-1.61515123860565	0.717	0.894	0
"Nupr1"	0	1.66410384570989	0.865	0.1	0
"Pycard"	0	-1.87414665346565	0.786	0.911	0
"Taldo1"	0	-1.41713284695225	0.812	0.911	0
"Rplp2"	0	-1.62666444927945	0.97	0.991	0
"Defa21"	0	5.96264221122479	0.931	0.499	0
"Defa23"	0	4.26603961165807	0.903	0.063	0
"Defa35"	0	1.24620732316393	0.573	0.005	0
"Gm14851"	0	6.56506395644784	0.984	0.847	0
"Defa30"	0	6.74242314594943	1	0.955	0
"Defa22"	0	6.00081982072155	0.937	0.476	0
"Gm15293"	0	3.62435833406571	0.855	0.047	0
"Gm15292"	0	3.67088803724847	0.875	0.059	0
"Defa3"	0	3.32359179264498	0.968	0.072	0
"Defa5"	0	3.67368003153711	0.869	0.048	0
"Defa27"	0	1.57650743706732	0.612	0.007	0
"Defa29"	0	5.95299089474515	0.975	0.505	0
"Defa36"	0	5.00153349314589	0.974	0.101	0
"Gm7849"	0	0.60837928207222	0.564	0.001	0
"Defa20"	0	0.582134446627611	0.306	0.004	0
"Defa28"	0	0.510815024229086	0.472	0.003	0
"Gm7861"	0	3.38485505758511	0.946	0.058	0
"Defa26"	0	4.43380693824803	0.978	0.098	0
"Defa17"	0	4.13987763029879	0.983	0.224	0
"Defa34"	0	3.02039982398617	0.744	0.02	0
"AY761184"	0	6.46203252765612	1	0.872	0
"Defa24"	0	6.00271081811171	1	0.997	0
"Ndufa13"	0	-1.48525067152403	0.84	0.942	0
"Rpl18a"	0	-1.60167252011042	0.988	0.997	0
"Prdx2"	0	-1.40700388413238	0.739	0.903	0
"Tmed6"	0	0.755806119850709	0.705	0.086	0
"Cox4i1"	0	-1.90904163239798	0.945	0.993	0
"Rpl13"	0	-1.70941638950687	0.997	0.999	0
"Agt"	0	0.26427472492335	0.273	0.013	0
"Mmp7"	0	3.05032447354229	0.963	0.158	0
"Hspa8"	0	-1.75644698966523	0.898	0.977	0
"Rps25"	0	-1.72843121307184	0.921	0.98	0
"Atp5l"	0	-1.71771730502078	0.849	0.962	0
"Cox5a"	0	-1.89783685553992	0.874	0.967	0
"Rplp1"	0	-1.86041368699793	0.972	0.998	0
"Eef1a1"	0	-1.7206852732991	0.987	0.997	0
"Cox7a2"	0	-1.72986051595538	0.844	0.956	0
"Rpl29"	0	-1.66729368553533	0.975	0.993	0
"Rpsa"	0	-1.68728292889159	0.991	0.997	0
"Rpl14"	0	-1.68402894659813	0.964	0.993	0
"Samd5"	0	0.492764731756247	0.386	0.004	0
"Rps12"	0	-1.76733951191062	0.992	0.998	0
"Bsg"	0	-1.32393801917438	0.889	0.935	0
"Atp5d"	0	-1.73881211407843	0.895	0.974	0
"Rps15"	0	-1.57045938392772	0.967	0.985	0
"Uqcr11"	0	-1.516075831603	0.908	0.953	0
"Oaz1"	0	-1.51145668877198	0.92	0.97	0
"Slc25a3"	0	-1.76566809635246	0.832	0.949	0
"Tspan8"	0	-1.65140272416631	0.753	0.896	0
"Lyz1"	0	6.23261876966497	0.994	0.457	0
"Naca"	0	-1.7233671672408	0.919	0.979	0
"Atp5b"	0	-1.67157673703615	0.848	0.954	0
"Myl6"	0	-1.5681775113341	0.904	0.968	0
"Rpl41"	0	-1.31442392401644	0.998	0.999	0
"Rps26"	0	-1.74611495269565	0.98	0.997	0
"Uqcr10"	0	-1.53592379754127	0.85	0.957	0
"Ppia"	0	-1.99614046194553	0.963	0.995	0
"Rps27a"	0	-1.71805713975047	0.997	0.999	0
"Npm1"	0	-1.85230544199326	0.769	0.925	0
"Rack1"	0	-1.61173087154245	0.95	0.985	0
"Uqcrq"	0	-1.42176481913716	0.938	0.969	0
"Hint1"	0	-1.68283985276735	0.884	0.96	0
"Lypd8"	0	-1.95310962838796	0.886	0.918	0
"Ubb"	0	-1.48910700890341	0.976	0.991	0
"Rpl26"	0	-1.73728565170646	0.981	0.996	0
"Eif5a"	0	-1.5605855434665	0.901	0.954	0
"Cldn7"	0	-1.82675560527673	0.896	0.97	0
"Pfn1"	0	-1.83900071668163	0.806	0.952	0
"Rpl23a"	0	-1.76659938721344	0.86	0.964	0
"Ccl6"	0	1.19185991710235	0.915	0.179	0
"Nme2"	0	-1.47315622877394	0.947	0.974	0
"Atp5g1"	0	-1.75110040276213	0.932	0.981	0
"Copz2"	0	0.362435224394336	0.401	0.014	0
"Rpl23"	0	-1.75506835288006	0.991	0.998	0
"Rpl19"	0	-1.69852439528792	0.99	0.998	0
"Krt19"	0	-2.24196128796798	0.763	0.929	0
"Eif1"	0	-1.36650942179236	0.948	0.977	0
"Rpl27"	0	-1.67603247605313	0.973	0.992	0
"Wnt3"	0	0.366901176212548	0.432	0.025	0
"Rpl38"	0	-1.47836320911197	0.991	0.996	0
"Atp5h"	0	-1.76762876457536	0.859	0.971	0
"H3f3b"	0	-1.61555337419879	0.957	0.987	0
"Actg1"	0	-1.82893052213564	0.902	0.983	0
"Rps7"	0	-1.73634137065622	0.974	0.996	0
"Rps29"	0	-1.68918189117059	0.99	0.997	0
"Rpl36al"	0	-1.46200898687723	0.965	0.98	0
"Calm1"	0	-2.03192362130323	0.924	0.987	0
"Atp5mpl"	0	-1.56050032190809	0.784	0.92	0
"Crip1"	0	-1.99104118983107	0.807	0.933	0
"Gadd45g"	0	0.499059652859294	0.606	0.096	0
"Uqcrb"	0	-1.68684271425108	0.826	0.945	0
"Cox7c"	0	-1.83269438051827	0.903	0.983	0
"Rps23"	0	-1.67008682589429	0.973	0.991	0
"Btf3"	0	-1.7210873714186	0.819	0.957	0
"Rpl15"	0	-1.83635572473765	0.984	0.995	0
"Rps24"	0	-1.62049689984127	0.996	0.999	0
"Rnase1"	0	2.06574199481299	0.868	0.145	0
"Ang4"	0	4.25666677242949	0.911	0.116	0
"Tpt1"	0	-1.66416505412722	0.985	0.997	0
"Gm10076"	0	-1.16531164513442	0.948	0.97	0
"Rpl37"	0	-1.58624415845664	0.985	0.996	0
"Rpl30"	0	-1.69678212540388	0.989	0.997	0
"Cox6c"	0	-1.79646892016634	0.897	0.979	0
"Eif3h"	0	-1.50409250897134	0.696	0.896	0
"Ndufb9"	0	-1.62199990258072	0.833	0.943	0
"Rpl8"	0	-1.74894589305376	0.986	0.996	0
"Lgals2"	0	-2.22631463903668	0.981	0.996	0
"Rpl3"	0	-1.76577351717205	0.945	0.99	0
"Krt8"	0	-2.17107966733716	0.923	0.984	0
"Atp5g2"	0	-1.68123145307675	0.854	0.964	0
"Rpl35a"	0	-1.67157433040159	0.985	0.997	0
"Rpl24"	0	-1.67576039359212	0.985	0.993	0
"Atp5j"	0	-1.68078736862866	0.884	0.966	0
"Atp5o"	0	-1.67505894470944	0.848	0.952	0
"Elob"	0	-1.38975453350166	0.877	0.948	0
"Rps2"	0	-1.77515194677151	0.995	0.996	0
"Rps10"	0	-1.73589994680651	0.995	0.998	0
"Rpl10a"	0	-1.76276404875201	0.98	0.995	0
"Clps"	0	4.11100304456975	0.967	0.158	0
"Rps28"	0	-1.63345390263393	0.975	0.994	0
"Ndufa7"	0	-1.3635329494337	0.794	0.921	0
"Rps18"	0	-1.78162506903295	0.978	0.995	0
"Hsp90ab1"	0	-1.99500560808518	0.921	0.986	0
"Rpl36"	0	-1.47750484631083	0.987	0.996	0
"Lbh"	0	0.385752137648819	0.49	0.076	0
"Epcam"	0	-2.06919420242818	0.924	0.982	0
"Bambi"	0	0.758532390967545	0.608	0.033	0
"Reep5"	0	0.305933078296987	0.77	0.178	0
"Rps14"	0	-1.59705090152421	0.995	0.997	0
"Rpl17"	0	-1.7742082191837	0.962	0.992	0
"Atp5a1"	0	-1.52807038678582	0.798	0.929	0
"Fau"	0	-1.65585424632182	0.992	0.998	0
"Cox8a"	0	-1.8406587668975	0.947	0.989	0
"Fth1"	0	-1.80611572234882	0.991	0.997	0
"Ndufb8"	0	-1.4661345814505	0.797	0.91	0
"Atp5md"	0	-1.53139193584691	0.785	0.914	0
"Habp2"	0	0.634249131591096	0.587	0.012	0
"Pnliprp2"	0	2.84264510737356	0.893	0.036	0
"Ndufb11"	0	-1.40874663879926	0.776	0.905	0
"Slc25a5"	0	-1.81373726975858	0.793	0.946	0
"Rpl39"	0	-1.6494060288134	0.97	0.991	0
"Rpl10"	0	-1.61660691246836	0.952	0.983	0
"Rps4x"	0	-1.77121516359292	0.987	0.995	0
"Cox7b"	0	-1.84341978572803	0.845	0.953	0
"Rpl36a"	0	-1.51292272986358	0.92	0.974	0
"Tmsb4x"	0	-2.09862780294937	0.909	0.985	0
"mt-Co2"	0	-1.2425385949577	0.989	0.994	0
"mt-Atp6"	0	-1.25544913032634	0.989	0.994	0
"mt-Co3"	0	-1.44768699149731	0.997	0.997	0
"mt-Cytb"	0	-1.37737223740679	0.979	0.985	0
"Vdac2"	1.41588489494964e-305	-1.58732141835159	0.672	0.874	2.42017205093742e-301
"H2afz"	1.36257531621965e-304	-1.7241199503767	0.887	0.953	2.32904998801426e-300
"Pebp1"	1.06496116264597e-303	-1.42807807165668	0.779	0.902	1.82033811531075e-299
"Calm2"	1.95254126824571e-302	-1.52707645988466	0.799	0.9	3.33747878981239e-298
"Muc2"	9.80982415420755e-302	-0.684901801092887	0.937	0.27	1.6767932426787e-297
"Hspe1"	8.268446908814e-300	-1.63502005598909	0.803	0.907	1.41332563012358e-295
"Psme1"	4.88318092612839e-299	-1.52986251990263	0.586	0.854	8.34682115703125e-295
"Ndufb10"	3.79940523704896e-298	-1.56603474517864	0.696	0.877	6.49432337168778e-294
"H2afv"	3.67136335919152e-297	-1.5158729370677	0.751	0.906	6.27546138986606e-293
"Psmb1"	2.18543718666886e-296	-1.38866549147054	0.707	0.877	3.73556778317309e-292
"Cyc1"	7.9631968978273e-296	-1.66212615611617	0.715	0.88	1.36114924574562e-291
"Mdh1"	1.26064702238506e-295	-1.50613143875364	0.733	0.876	2.15482395536278e-291
"Hmgb1"	1.45037040388313e-294	-1.85700062183814	0.731	0.891	2.47911813135743e-290
"Eef2"	8.97425535290576e-293	-1.13503474921033	0.908	0.958	1.53396946747218e-288
"Park7"	1.22665298909541e-292	-1.39278439866631	0.744	0.892	2.09671795426079e-288
"Rpl4"	7.80516796366472e-292	-1.20661636478638	0.874	0.945	1.33413736002921e-287
"Snrpg"	2.9259568543154e-290	-1.47839329495525	0.752	0.901	5.00133805108131e-286
"Chchd10"	1.72528397211176e-289	-1.60112782390234	0.739	0.882	2.94902789353063e-285
"Ndufa6"	6.84826223157086e-289	-1.42265981943326	0.71	0.871	1.17057346324241e-284
"Tma7"	1.86093663385005e-287	-1.37969698579304	0.706	0.875	3.18089898823989e-283
"Gpx1"	2.80318887555154e-287	-1.73854999611369	0.765	0.884	4.79149074498024e-283
"Ndufa12"	2.0927387312643e-286	-1.46454043658789	0.674	0.863	3.57711831335007e-282
"Eif3k"	5.375326570219e-286	-1.30793519337304	0.762	0.896	9.18804570647534e-282
"Eif2s2"	3.60051732812732e-285	-1.32847918882208	0.783	0.887	6.15436426896803e-281
"Nedd8"	5.81913636122919e-283	-1.35356960383862	0.677	0.867	9.94664978224905e-279
"Psmb3"	6.32173197457627e-283	-1.34696396965784	0.721	0.883	1.08057364641432e-278
"Ndufb5"	2.29561555106213e-281	-1.41889738632561	0.689	0.87	3.9238956614305e-277
"Phgr1"	1.35987087454461e-280	-1.75191334191904	0.909	0.926	2.3244272858591e-276
"Akr1a1"	1.49696110686522e-280	-1.37212341396821	0.678	0.868	2.55875561996473e-276
"Ndufc2"	3.9342556808148e-279	-1.44845293956849	0.673	0.864	6.72482323521673e-275
"Tle5"	6.9133054190522e-279	-1.31408848742535	0.81	0.884	1.18169129527859e-274
"S100a10"	5.84448784623738e-278	-1.63367827799749	0.632	0.862	9.98998307557355e-274
"Clta"	2.05176852980576e-277	-1.31232868762507	0.694	0.872	3.50708794799699e-273
"Micos10"	4.03991813596524e-276	-1.41574922295088	0.691	0.867	6.90543206980539e-272
"Ndufb7"	4.71258745614094e-276	-1.35834600692618	0.729	0.876	8.05522573878171e-272
"Gas5"	7.61906310124137e-276	-1.47478016566068	0.744	0.912	1.30232645589519e-271
"Rbm3"	2.65167675993644e-275	-1.42236169203298	0.708	0.878	4.53251108575935e-271
"Eif4a1"	2.43552110363586e-274	-1.36081472748387	0.759	0.882	4.16303622244477e-270
"Ndufs6"	4.0345387645658e-274	-1.30784161649386	0.721	0.874	6.89623711027232e-270
"Nme1"	2.86787534761406e-273	-1.32288765528444	0.79	0.885	4.90205933167671e-269
"Ndufc1"	3.72669645417188e-273	-1.39391262364995	0.757	0.883	6.370042249116e-269
"Hspd1"	9.59625654948389e-272	-1.75417470842283	0.648	0.853	1.64028813200328e-267
"Ran"	1.84612543763826e-271	-1.5836353300528	0.724	0.885	3.15558221055508e-267
"Mgst3"	1.09955716504368e-270	-1.83559700595678	0.632	0.847	1.87947306220916e-266
"Phb2"	1.76596245638698e-270	-1.49396654832517	0.668	0.853	3.01855962670227e-266
"Uqcrfs1"	1.31511668102245e-269	-1.53569004226706	0.627	0.839	2.24792894287168e-265
"Ndufs7"	5.08707530812928e-269	-1.38778502181625	0.737	0.869	8.69533782418538e-265
"Prdx6"	3.74887807744866e-268	-1.47295634493384	0.67	0.852	6.40795729778299e-264
"Cfl1"	4.34685942836263e-265	-1.44164083228577	0.598	0.826	7.43008682090025e-261
"Ldha"	1.38575297249115e-262	-1.64981840813938	0.711	0.858	2.36866755587911e-258
"Gnb2"	1.71599402967004e-262	-1.26527928905295	0.769	0.878	2.93314859491501e-258
"Tomm7"	1.10815056307907e-260	-1.263564956437	0.694	0.871	1.89416175747106e-256
"Gpx2"	3.48630605888281e-260	-1.44405100492325	0.866	0.902	5.95914294644838e-256
"Eef1d"	1.64658351036205e-259	-1.23301824583181	0.801	0.888	2.81450519426185e-255
"Hnrnpf"	1.80801672022033e-258	-1.4024867081322	0.687	0.842	3.09044297987262e-254
"mt-Nd4"	5.29265651780854e-258	-1.11085549391894	0.925	0.955	9.04673778589014e-254
"Mrpl52"	6.8236942535841e-257	-1.15440652260462	0.812	0.899	1.16637405876513e-252
"Arpc3"	4.62390414512657e-256	-1.3608205980951	0.613	0.832	7.90363935526484e-252
"Pfdn5"	3.19273826741869e-255	-1.21781571566736	0.774	0.881	5.45734752049877e-251
"Ndufa2"	2.04053321562145e-254	-1.21219609440579	0.772	0.882	3.48788342546175e-250
"Calml4"	6.23168872433109e-254	-1.33791361388717	0.743	0.862	1.06518255364991e-249
"Ndufa11"	1.87329579622646e-253	-1.23430472446754	0.767	0.868	3.20202450448989e-249
"Cldn3"	7.44337274423613e-253	-1.31810200784089	0.811	0.89	1.27229570317228e-248
"Mpc2"	4.86824952764494e-251	-1.44505939906927	0.643	0.825	8.32129891760349e-247
"Psmb2"	5.77188015199762e-251	-1.36871312340386	0.604	0.823	9.86587474380954e-247
"Snrpe"	8.16689759442406e-251	-1.42107873223237	0.65	0.843	1.39596780581491e-246
"Jpt1"	8.76643443459926e-251	-1.45182768018255	0.622	0.837	1.49844663790605e-246
"Micos13"	2.03010285313079e-250	-1.27130318217266	0.705	0.86	3.47005480685647e-246
