	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Ube2c	0	1.7460694768657	0.821	0.338	0
Hmgb2	0	1.52312504911719	0.988	0.65	0
Cenpa	0	1.41064060466967	0.793	0.204	0
Cks2	0	1.29545389827447	0.856	0.406	0
Birc5	0	1.29525463100932	0.879	0.317	0
H2afx	0	1.24626765291794	0.784	0.381	0
Tubb4b	0	1.22192612727104	0.966	0.726	0
Cenpf	0	1.21569178832568	0.637	0.161	0
Tubb5	0	1.20446213926295	0.913	0.598	0
Ccnb2	0	1.1735726047754	0.749	0.219	0
Cdca3	0	1.12595537846385	0.797	0.283	0
Cdca8	0	1.10332779699135	0.75	0.249	0
Cdc20	0	1.09614312020978	0.649	0.147	0
Arl6ip1	0	1.01884646542419	0.803	0.573	0
Ube2s	0	1.01559811526605	0.927	0.632	0
Ccdc34	0	1.00153707431602	0.929	0.61	0
Hmgb1	0	0.948540916149267	0.983	0.866	0
Stmn1	0	0.943759519920996	0.975	0.696	0
Nucks1	0	0.928846248638824	0.886	0.583	0
Top2a	0	0.898187766041747	0.593	0.264	0
Nusap1	0	0.883786040348329	0.499	0.145	0
Cdkn3	0	0.880411585844038	0.569	0.149	0
H2afz	0	0.845744819115609	0.997	0.941	0
Tuba1b	0	0.829164895073013	0.742	0.385	0
Spc24	0	0.827626768491817	0.707	0.316	0
Prc1	0	0.827305903321557	0.469	0.153	0
Cdk1	0	0.82439332500582	0.579	0.247	0
Ptma	0	0.805098691113177	1	0.985	0
Ifitm3	0	0.8008012340979	0.851	0.555	0
Ccnb1	0	0.78022387464773	0.474	0.107	0
Ran	0	0.761352714693334	0.983	0.859	0
Selenoh	0	0.748614440259999	0.787	0.449	0
Smc4	0	0.739463839459326	0.61	0.272	0
Knstrn	0	0.729474251759811	0.499	0.145	0
Hmgb3	0	0.70704988504981	0.793	0.486	0
Pbk	0	0.687445962589561	0.514	0.189	0
Ccna2	0	0.680385089251555	0.476	0.15	0
Aurka	0	0.666111797068176	0.423	0.122	0
Hmmr	0	0.654894370797389	0.397	0.098	0
Anp32b	0	0.64834149722937	0.95	0.764	0
Hist1h2ap	5.0537445799453E-219	0.645566051962113	0.525	0.283	8.6383656105005E-215
Jaml	0	0.628265241200317	0.814	0.473	0
Cks1b	0	0.625566652454123	0.53	0.234	0
Lsm2	0	0.622789869774734	0.776	0.483	0
Smc2	0	0.621781906417074	0.541	0.246	0
Rnaseh2c	0	0.607915429494192	0.862	0.618	0
Lockd	0	0.607324986820646	0.424	0.127	0
Hist1h1b	5.51594578964025E-153	0.594624833904784	0.5	0.3	9.42840613823208E-149
Olfm4	0	0.594315794173332	0.948	0.608	0
H2afv	0	0.592479427397273	0.973	0.886	0
Nhp2	0	0.588557018735248	0.9	0.678	0
Cenpw	0	0.585798030783491	0.589	0.29	0
Mki67	0	0.579047282321895	0.422	0.165	0
Ddx39b	1.23222452117291E-293	0.567586238319877	0.855	0.634	2.10624137404086E-289
Jpt1	6.56359725488585E-286	0.56348921259827	0.919	0.811	1.12191567877764E-281
Tuba1c	9.71456377872213E-283	0.553598584698684	0.481	0.223	1.66051038669697E-278
Anp32e	1.3689858454908E-280	0.54421233696124	0.594	0.317	2.34000750569743E-276
Snrpd1	2.02477240928004E-296	0.54419278132169	0.92	0.711	3.46094347918238E-292
Plk1	0	0.531539908477988	0.342	0.093	0
Hmgn2	2.79278678248232E-254	0.530637411305162	0.583	0.317	4.77371044729703E-250
Snrpg	0	0.525313004357369	0.978	0.88	0
Set	1.03056837977148E-255	0.523735034069737	0.91	0.733	1.76155053154338E-251
Lsm4	4.42919481989513E-298	0.52242583450049	0.93	0.773	7.57082270564674E-294
Cenpe	0	0.522206599128313	0.339	0.088	0
Lsm3	4.87382886334478E-251	0.517177349648524	0.698	0.423	8.33083567611523E-247
Knl1	0	0.508901657954124	0.338	0.106	0
Racgap1	0	0.508425492867845	0.337	0.096	0
Lsm5	1.8430128858692E-237	0.507964888446793	0.74	0.484	3.15026192581622E-233
Ifitm2	1.04416635325888E-305	0.506594028386471	0.962	0.846	1.7847935476254E-301
Ncl	1.28684656568794E-228	0.506090035812012	0.92	0.77	2.19960683473039E-224
Aurkb	0	0.49744062930542	0.364	0.129	0
Lmnb1	3.85996138515399E-222	0.492973927929446	0.497	0.255	6.59783199564372E-218
Aldh1b1	3.71655941066754E-255	0.49217972231773	0.939	0.796	6.35271500065402E-251
Clca3b	1.73453967902193E-204	0.491653442722523	0.691	0.427	2.96484867335218E-200
Ddx39	5.01562397951845E-213	0.490600176315895	0.782	0.556	8.57320606819088E-209
Kcne3	5.3104413672873E-209	0.487755658627055	0.723	0.474	9.07713742910418E-205
Snrpf	5.28124712135742E-257	0.485323968349693	0.922	0.765	9.02723570453624E-253
Rangrf	1.2879922692076E-209	0.485076488741831	0.661	0.413	2.20156518575655E-205
Mif	1.1088276602992E-275	0.484645384129688	0.951	0.819	1.89531911974942E-271
Snrpe	8.57542680722526E-284	0.484447885925386	0.946	0.815	1.46579770415901E-279
Hnrnpa1	1.03780968825984E-234	0.484326392498292	0.823	0.604	1.77392810014254E-230
Gm43305	1.65291116658327E-65	0.480211775446106	0.461	0.34	2.82532105704079E-61
Cbx3	3.20599213209168E-196	0.474105502352561	0.745	0.517	5.48000235138431E-192
Lyar	5.74201397444165E-209	0.471697000504996	0.644	0.395	9.81482448651311E-205
Cenpm	4.05970690183518E-231	0.4671874463252	0.411	0.186	6.93925700730688E-227
Ranbp1	1.1051360148282E-244	0.466815026117892	0.941	0.76	1.88900899014584E-240
Cd81	1.53902840439994E-225	0.466403238830155	0.91	0.739	2.63066125164081E-221
Bub3	4.41894592564674E-176	0.464197540621815	0.552	0.342	7.55330427070797E-172
Sae1	8.93738189478001E-201	0.463380870931372	0.596	0.35	1.52766668727475E-196
Fgfbp1	2.18041097017011E-190	0.461992652704138	0.582	0.338	3.72697647131177E-186
Ubald2	8.7078248835271E-178	0.460783420724172	0.736	0.522	1.48842850734129E-173
Kif11	3.23975258918314E-302	0.460025863934361	0.315	0.102	5.53770910069075E-298
Srsf7	1.71281769620634E-202	0.456085418727806	0.865	0.668	2.92771928812549E-198
Kif23	3.74649360884782E-301	0.455679310714552	0.315	0.102	6.40388152560358E-297
Kif22	0	0.455127127762182	0.319	0.089	0
Exosc8	4.94536665564775E-209	0.454764484239467	0.582	0.33	8.4531152244987E-205
Dbf4	6.2838517930096E-299	0.453843884187105	0.346	0.121	1.07409878697913E-294
1700097N02Rik	5.01714969048896E-241	0.452296341222751	0.393	0.169	8.57581396595278E-237
Tmpo	3.40487211424485E-190	0.452128451677573	0.528	0.296	5.81994790487873E-186
Hist1h1e	1.88154121968735E-81	0.45000523629985	0.495	0.355	3.21611840681159E-77
H1f0	2.26283069346866E-171	0.449761840404315	0.804	0.602	3.86785650434598E-167
Srsf3	8.73993302169278E-212	0.449547660991246	0.914	0.758	1.49391675139795E-207
Hist1h2ae	3.7664609118113E-125	0.448650719194127	0.482	0.298	6.43801163655906E-121
Eldr	7.709540505329E-245	0.448446926553995	0.385	0.162	1.31779175857589E-240
Cenpv	1.94845983321161E-207	0.446344729073394	0.889	0.717	3.3305023929086E-203
Npm1	1.32017901268798E-280	0.445218185036903	0.987	0.905	2.25658198638756E-276
Hspe1	5.45808810404383E-244	0.443957975315783	0.978	0.889	9.32950999624211E-240
Tacc3	0	0.44377415863505	0.343	0.113	0
