""	"RNA.0"	"RNA.1"	"RNA.2"	"RNA.3"	"RNA.4"	"RNA.5"	"RNA.6"	"RNA.7"	"RNA.8"	"RNA.9"	"RNA.10"	"RNA.11"	"RNA.12"	"RNA.13"	"RNA.14"
"Gm19938"	0.00236595632279544	0	0.00965493904616748	0.00151083681737547	0.00216735913791123	0.000758944099289317	0.00627925709111031	0	0.00689528352543028	0	0.0406295193191598	0.00164149327299642	0	0	0
"Mrpl15"	1.58181135363606	1.95358630410707	0.83179625291354	1.98819941913967	2.32617429825074	2.54330290135136	1.5853190788457	2.70192543008971	0.421940951840161	2.51406446663573	1.33537434856022	1.24003101928499	2.53380550240469	1.47708066387405	1.03352914466189
"Lypla1"	0.388380539013713	0.451601199956206	0.612102036034459	0.4436665171375	0.50746218046935	0.592706098883969	0.558394423053296	0.850726964575862	0.167406995801267	1.01066594835747	0.620922947229745	0.491883634550285	0.893936766867776	0.583694064975844	0.152558415991058
"Tcea1"	0.933592845857743	1.07644155080724	0.634518122921207	0.940526553213827	0.920964674497021	0.96221601144518	0.810765688363032	0.730117810116194	0.287535215870557	0.659072740743232	1.22165947842231	1.30272105641167	0.703380770759418	1.58461812928973	0.289551615130264
"Atp6v1h"	0.15260032722078	0.153900944909322	0.182450997203976	0.147654257576664	0.174271081514224	0.147193645096817	0.208229223326613	0.173644093159991	0.0708340810565124	0.181316408765312	0.424464927697034	0.250063577745321	0.318133556002016	0.451290289732794	0.174294524460087
"Rb1cc1"	0.300877296135946	0.225779934034007	0.34602345683315	0.213398097959323	0.199153646600322	0.155673841605933	0.257237797789308	0.192715061051959	0.160166101537701	0.198080811065802	0.749085735073704	0.431208494300572	0.224162999421977	0.846334692545408	0.757633671151494
"4732440D04Rik"	0.113140523314031	0.100607771581938	0.048787985233147	0.0813213661797263	0.117887737120442	0.100277032212732	0.0720634336733377	0.120399222754522	0.0244885070620104	0.154710121714552	0.0542305818652967	0.085271889400492	0.222852565944951	0.0234710213469588	0.133205456095482
"St18"	0.000902107286537059	0.00114521650681217	0.00614601379722382	0	0	0.000846712018255789	0.000742808058100664	0	0.0289918688249109	0	1.01863684260839	0.269777088511557	0	1.02706423160459	0
"Pcmtd1"	0.208354598341046	0.156506209164735	0.303289353547073	0.149283650432839	0.135290624627857	0.122496553827892	0.215742173367993	0.136599181416594	0.266591361556354	0.151922864470561	0.699115333187988	0.336809171690472	0.180626994603019	0.411713095611939	0.137544014084507
"Gm26901"	0.027967371636255	0.0229530101233128	0.00775371173996682	0.0282057408948105	0.0203224335557962	0.0172007594481999	0.0108924362705716	0.00560558566465252	0.00433818874665856	0.00821047469255389	0.016739761611999	0.0339511240981207	0.00597288786739233	0	0
"Gm30414"	0.000354418693799828	0	0	0	0.00155948896794112	0	0	0	0.000877006349350568	0	0	0	0	0	0
"Rrs1"	0.524002572700984	0.54172592678231	0.178882236776044	0.515965693305664	0.531580491097522	0.396144409113525	0.311716767329601	0.174174990134602	0.104912605922097	0.108934767208472	0.382616700057271	0.226346398917303	0.0849155109060962	0.321716297834293	0.0780859570214893
"Adhfe1"	0.00254237175295156	0.00476052523221988	0.00372629493281248	0	0.00656613689328691	0.00191660249242655	0.00645812270544117	0.00165566951596521	0.00140497981044012	0	0.0227902567094516	0.0074870698304029	0.0040940786521638	0.0267643028434395	0
"Mybl1"	0.00818862091772416	0.0144038372709818	0	0.0259241088713127	0.00455016520156093	0.0172083571428959	0.0110560527454279	0.00255069831743186	0.000781012645375741	0	0.0033019864750634	0	0.0077350527840002	0	0
"Vcpip1"	0.146677306987929	0.133749219020754	0.218278920271141	0.112008854600704	0.11202183789823	0.0901909227909247	0.131374321605488	0.0903607967349751	0.0828280404551143	0.0983213858739148	0.313742597083472	0.206739824895209	0.123305016259316	0.454921107718894	0.530278349786089
"1700034P13Rik"	0.00142470969008158	0.00334628759863651	0.00266123100190741	0.0117449172995709	0.0186430224310122	0.00841522116462673	0.00845150450784119	0.0112655957397676	0.00132678010105819	0.0187472934310842	0.0133335390045153	0.00922825697324986	0.00363833759989056	0	0
"Sgk3"	0.053587404627875	0.0366011301661227	0.0426910482971789	0.0557410579770933	0.0200054505699248	0.0190455658799044	0.0410994928340698	0.00609315895860711	0.0105300536445108	0.00841915026741733	0.0245468065223347	0.230992167906822	0	0	0
"Snhg6"	0.727027505239942	0.565263815450247	0.25501564624031	0.50799636901022	0.500877686266293	0.38661616394372	0.37387336164055	0.414292404613177	0.121565487805804	0.25112405036631	0.422017729844154	0.475925646740701	0.331248871845557	0.28238054945302	0
"Tcf24"	0.00104974312785661	0.00150543095007808	0	0.000621529302682657	0	0.000725278396299223	0	0.00108062254664912	0.00237234994102357	0	0	0	0	0.0112013190673334	0
"Cops5"	1.03000651515309	1.17690192710601	0.603205871261882	1.16716064963019	1.23399893177089	1.30861951487255	0.934130722445436	1.13762473498832	0.259504381828111	1.00714871665745	1.20758318800756	1.04738695337268	1.28294377790787	0.916742202927447	1.01183161381055
"Cspp1"	0.366578616736325	0.324913184030324	0.253825527109897	0.29864442760303	0.253539014895427	0.224692753008265	0.326732323864657	0.155050559636366	0.107568783718822	0.0731572652933987	1.11666971140875	0.40946597272846	0.194486166782056	0.911490067695954	0.291250181060092
"Arfgef1"	0.444622741827194	0.458814582530395	0.568863421286434	0.401500011915957	0.412427102795384	0.41911608716976	0.513620835466657	0.488885208156377	0.291910675182676	0.381349810503384	0.915353228100286	0.608665148962419	0.442229954258972	1.85333185744632	0.521486027573671
"Sulf1"	0	0	0	0	0	0	0	0	0	0	0.0226712130005804	0	0	0.0548642736417653	0
"Prdm14"	0	0	0.00718007691011568	0	0	0	0.00608279863943216	0.00161523228655513	0.00206426639275228	0	0	0	0	0	0
"Ncoa2"	0.0793167228188305	0.0515445009443305	0.161928157581155	0.087921355919884	0.0696793803949924	0.0363864150863994	0.106706152333439	0.0557395958612149	0.0408308353212748	0.0592885962283429	0.207634442410327	0.0619424071370155	0.082947687464955	0.400929701660322	0.0727082363890181
"Tram1"	0.257508838381713	0.245237375690291	1.75618651356297	0.339314787896934	0.343763943904294	0.424839989382919	1.05591643516679	0.548678580765754	0.67899062839471	0.419030923092349	0.745118059849253	0.656937018897524	0.474885296640892	0.815305444522274	0.756374310423561
"Lactb2"	0.103145732044291	0.127393393298145	0.148453367058436	0.142626347328595	0.162985541761806	0.172462811462981	0.173751106868988	0.249495447215759	0.0556338804893512	0.195544728946601	0.179830900594095	0.249139025844779	0.198898268475286	0.217790311531252	0.10132944228275
"Xkr9"	0.00372620923838628	0.000537263869842885	0.0662935605413398	0.00423339736283273	0.00280816092097334	0.0274076041360997	0.0377491659490273	0.0558421239763129	0.0153954549292764	0.183406596532812	0.0142194631936358	0.0508527860987877	0.140508181342997	0	0
"Trpa1"	0.00232570603342858	0.00291785082779428	0	0	0	0	0.00109346657004796	0	0	0	0.00930059523809524	0	0	1.54779170207603	0
"Kcnb2"	0	0.00131908023173601	0.00254254180955752	0.00247861393628432	0	0	0.00723529662667558	0	0.000995614517174749	0	0.717663820499422	0	0	0.838877762457947	0
"Terf1"	0.169539149327014	0.559911517719613	0.106673842076259	0.318720087753175	0.212800532423394	0.493545652794852	0.356149121040097	0.110553825004072	0.0596443273122768	0.0801721076495149	0.284268570161287	0.188119153533949	0.108400687655455	0.302818638045425	0.109036985345429
"Sbspon"	0.00717372299021754	0.0005069849342329	0	0.00587985810734895	0	0	0	0	0	0	0.0149130901887361	0	0	0.0118274889767803	0
"Rpl7"	35.8707490337944	30.5685877197574	18.0571304429192	32.0457288774231	31.2561921697659	25.8686468546202	25.1491706284305	25.2912246093516	7.68964246979757	19.8012566982093	19.9121029245518	21.704496244221	21.6647002409779	16.9301642152007	17.6293754889026
"Rdh10"	0.11082436380194	0.051322392276783	0.0389776894196485	0.0581334415874769	0.0402627522551387	0.0317242046326178	0.0419552595909033	0.074292337118682	0.0129055090421694	0.09058657190079	0.0405360902730083	0.028124024954111	0.0645659463567587	0.00944922365178477	0
"Stau2"	0.0903286687163313	0.0777594348794263	0.1189945377538	0.107214485160059	0.0757392761985205	0.0724690770814004	0.0787254854835705	0.0459954716681354	0.0209311917078043	0.0502183633404639	0.15246625724852	0.059215496417807	0.012577499006284	0.13625164987936	0
"Ube2w"	0.163306441171856	0.138654377617564	0.162329190700704	0.14287054886459	0.139955290636614	0.116739661696487	0.152874017285251	0.129140818907085	0.0564617608337206	0.106914731298763	0.397809640109301	0.218290844137044	0.131657574551092	0.269676229621425	0.752541726261997
"Eloc"	1.35265492758606	1.65680908521731	1.04758432033642	1.75567052892468	1.62463217706645	1.75160583481088	1.48707086241158	1.44580692426317	0.327712331894604	1.32413222119955	1.9308843101689	1.71573894560418	1.48966914142105	1.55693368037943	1.19813332899331
"Tmem70"	0.86483194053976	0.97149416905464	0.385274844103708	0.947020512935043	1.00049423837899	0.94216941728885	0.688755309079974	0.868770290649691	0.182765479716678	0.756254250056466	0.440338728354245	0.588730467921447	0.755105268347677	0.617395110371044	0
"Ly96"	0.164148405447648	0.133420181545598	0.108713010483471	0.120530580894156	0.152164160095388	0.125805547723197	0.14782924078621	0.123407004788051	0.0670224766356811	0.167909925653644	0.113240227107653	0.200395629404959	0.266316096856862	0.0640838721232968	0
"Jph1"	0	0.00523061650665955	0	0.00230331851287622	0.000698670430171384	0	0.00178896512999451	0	0	0	0	0	0.00414328472984126	0	0
"Pkhd1"	0.00160009999536849	0	0.00478361182020448	0.00236040776649394	0	0.00153277729282407	0.00165766004707755	0.00283852618043659	0	0	0.0377260388379783	0.00242446694457523	0.00388934350993027	0	0
"Mcm3"	0.487865491589926	0.269183521823124	0.037468129536787	1.00891198959325	0.841956081360076	0.299826427894407	0.329307720068501	0.0663755856304189	0.063834474373142	0.0111028254444979	0.0774682748934558	0.150112491508832	0.0143265978111369	0.193763008723351	0.0775819265143992
"Paqr8"	0.00198383626307995	0.000307931641639009	0	0.00325143326440583	0.00688961848338896	0.00207349332812895	0.00135265757987375	0.00550986220317921	0.00455194101655441	0.00553590616417615	0.0216991134416613	0	0	0.150111903733236	0
"Tram2"	0.0051258644217103	0.00244156234817063	0.00277618070207569	0.00757089809774748	0.00996728086697321	0.00561067610116349	0.000770600006889164	0.00967812603279911	0.00571567630389481	0	0.00578875222288085	0	0	0	0.0229475693934498
"Tmem14a"	0.0701108098383454	0.0564592246421525	0.238887978412184	0.0735939730338791	0.0714581614895204	0.0658716268757621	0.158017127598655	0.140448681566443	0.0296941022208016	0.122308375065822	0.053855303424066	0.0789425140121345	0.099232010809716	0.0791410870674755	0
"Gsta3"	0.00865303322360839	0.0205819858802965	0.0118882264229396	0.0274747178413644	0.0277617791940747	0.0459546367458267	0.0124182811353486	0.0616148742951756	0.00232057973651209	0.0918209734463455	0.00661302206341916	0.00458656312928052	0.0827864515893164	0	0
"Gm28836"	0	0	0.00648057570309119	0	0	0	0.000747399628527437	0	0	0	0	0	0	0	0.106004070556309
"Khdc1a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm29107"	0.000958098886535798	0.0012429529891447	0	0.00294642389488862	0	0.00152394862403441	0.00117537652011445	0.00148995435524833	0	0	0.0123493541640611	0.0154002051307323	0	0	0
"Ogfrl1"	0.0015491535502566	0.00307591866323113	0.00282975610705156	0.0164521043592088	0.012619944327225	0.00372845646317121	0.00133798287983037	0.00379243258002981	0.00324103215773692	0	0.0263276884261526	0.0703162676611851	0	0.103319025539236	0.0501444159178434
