	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Rgs13	0	4.11697570764842	0.823	0.005	0
Alox5ap	0	3.69859466297707	0.794	0.008	0
Lrmp	0	3.63582832018708	0.872	0.006	0
Cd24a	0	3.39295729560633	0.985	0.502	0
Ltc4s	0	3.37109569472966	0.852	0.033	0
Hck	0	3.25655455574002	0.706	0.004	0
Fyb	0	3.2461008686626	0.815	0.026	0
Kctd12	0	3.15593359756681	0.842	0.028	0
Dclk1	0	3.14232110958782	0.749	0.003	0
Adh1	0	2.97739224367772	0.868	0.202	0
Krt18	0	2.97450427362972	0.994	0.909	0
Aldh2	0	2.91300502703252	0.886	0.416	0
Avil	0	2.8993096292637	0.82	0.006	0
Reep5	0	2.89380570480441	0.837	0.183	0
Sh2d6	0	2.85226085329046	0.728	0.003	0
Tuba1a	0	2.73151846631206	0.643	0.03	0
Espn	0	2.62162358057905	0.787	0.038	0
Tmem176b	1.07197513190053E-272	2.48840572280243	0.925	0.662	1.83232709295757E-268
Snrnp25	0	2.45682587516014	0.734	0.171	0
Tm4sf4	0	2.29172427032556	0.753	0.197	0
Gng13	0	2.29148030932993	0.544	0.005	0
Mgst3	0	2.27072364296779	0.974	0.835	0
Skap2	0	2.26399774998365	0.702	0.13	0
Ly6g6f	0	2.17963468235039	0.614	0.004	0
Nrgn	0	2.13365575848179	0.34	0.007	0
Tmem176a	2.88309891945093E-173	2.11677179194319	0.748	0.45	4.92808098301747E-169
Ptpn18	5.59694344674086E-220	2.09070828162562	0.609	0.208	9.56685543351414E-216
Ptpn6	0	2.0835869536416	0.593	0.063	0
Matk	0	2.0703627277955	0.462	0.004	0
Ethe1	3.03242637228004E-276	2.06319289815097	0.743	0.277	5.18332639813827E-272
Malat1	0	2.03881281900218	0.999	0.99	0
Cystm1	9.05949794621566E-268	1.96920694557464	0.939	0.769	1.54853998394664E-263
Tspan6	0	1.94420091582864	0.487	0.015	0
Il13ra1	0	1.93110938295447	0.632	0.087	0
Cdhr5	2.60617567922824E-164	1.90709449278093	0.637	0.271	4.45473608850483E-160
