""	"RNA.0"	"RNA.1"	"RNA.2"	"RNA.3"	"RNA.4"	"RNA.5"	"RNA.6"	"RNA.7"	"RNA.8"	"RNA.9"	"RNA.10"	"RNA.11"	"RNA.12"	"RNA.13"	"RNA.14"
"Gm19938"	0	0	0.00637912622756114	0	0.0019658527446548	0	0.00664655418811521	0	0	0	0.0049442535413216	0	0	0.0206424313386569	0
"Mrpl15"	1.92247942687889	2.481569873241	1.03642087505698	2.29567187862808	2.75671922527909	3.04555455401808	1.69017340661266	3.24307433539578	0.540903228448297	2.6800822776495	1.34476935094619	1.58344763420621	3.26788439669146	1.19716310223895	1.17094396712612
"Lypla1"	0.509690760165667	0.478743771514572	0.550291516588624	0.45868733523653	0.525443894183384	0.606206161631286	0.553790819881379	0.744587385816383	0.161324625437333	0.906854348724598	0.442228974795066	0.582400085732987	0.957845955437002	0.524888939369626	0.258397932816537
"Tcea1"	0.879815098717178	1.06274202196759	0.605888690928389	0.974725187496709	0.919876295495391	1.03642746589403	0.760149475352833	0.740018806326454	0.256654482214998	0.614435696670844	1.29678186809996	1.11980058282183	0.618697156708222	1.09225482915145	0.27708506511499
"Atp6v1h"	0.119052539948409	0.115537073501134	0.214802586676206	0.110264860709294	0.13097763822149	0.154549488638693	0.182106328395984	0.169366580899188	0.0530237054115248	0.161965319841601	0.370005486276908	0.275087021739103	0.2013968387569	0.475324687918134	0
"Rb1cc1"	0.179806759102476	0.18231161777881	0.289411525489095	0.142869449972712	0.125659580468616	0.175336230997524	0.187083706856715	0.155261572826395	0.137913141505368	0.19781012053326	0.605147987516474	0.492295604914768	0.163547305379511	0.820019944003276	0.334001336005344
"4732440D04Rik"	0.0660558469471969	0.0490840149105657	0.0361222553029161	0.0405613193552435	0.0573449198819827	0.0638267651318261	0.0329441973018034	0.0792475687603805	0.0134682236068939	0.098620797084742	0.10167260958114	0.0962230337879596	0.0636553243222725	0.062269713863932	0.407497962510187
"St18"	0	0	0	0	0.00180703732616301	0.000845310538351232	0	0.00171561428598878	0.00638067628969131	0.00424973842859972	0.789833707713745	0.245600822920806	0	0.823978504531627	0
"Pcmtd1"	0.175327359991329	0.137661151724838	0.292554881522728	0.133834396260416	0.126452423341533	0.11508723909825	0.19354329176819	0.14236413483554	0.172620620755068	0.138192890897321	0.530197106160004	0.35996301413814	0.10352970435069	0.52187494474381	0
"Gm26901"	0.0268962334892393	0.0266465045532819	0.00532734575596483	0.0315305578210183	0.0313886053558057	0.011254219717048	0.0217553760770572	0.00496640483605073	0.00385155803563236	0.0066654885909066	0.0441770678183221	0.0161019164553785	0.00558281493024591	0.0323683864102622	0
"Gm30414"	0.00146618572854117	0.00154915595786792	0	0.00144175566624394	0	0.00154975647181927	0	0	0	0	0	0.00315938652074787	0	0	0
"Rrs1"	0.499997729294431	0.526370208657955	0.146534413031647	0.562319963316201	0.492197497790079	0.386533023871528	0.336871094923764	0.201394914499809	0.115076944929298	0.107434958030228	0.166000270934018	0.203321134489763	0.146946506314649	0.234113669437001	0.777000777000777
"Adhfe1"	0.00387695814705712	0.00311226445000845	0.00319899978217015	0.00413233899298251	0.00233934709290506	0.003339385606192	0.00244814247205794	0.00188060847208851	0.00238635736033394	0	0	0.00624937115702733	0	0	0
"Mybl1"	0.00738760026220613	0.0133564600926193	0.00193305670003251	0.0227488095135021	0.0170767101133966	0.0153934974471444	0.00688010470213862	0	0	0.00153671299549005	0	0.00896893966504598	0	0	0
"Vcpip1"	0.108760621554453	0.0773767549465009	0.129971898245561	0.0780392609601404	0.060417339256138	0.0817481745215666	0.163671024781829	0.0639180991751583	0.0378653431805768	0.0915747078666163	0.301110163681917	0.166114083487138	0.0632582492563628	0.297560424682183	0.263088660878716
"1700034P13Rik"	0.0085965219508776	0.00834931664799561	0.00248755126289033	0.0122956781641165	0.0104978113745412	0.00855929275980818	0.00916518377060672	0.0194820840067485	0.00190049946666347	0.0185948371931642	0	0.0172411540111121	0.027879252094376	0.0191049519873329	0
"Sgk3"	0.0374366336245952	0.0391765144766167	0.0714532542275075	0.0428362613533503	0.0164430965573615	0.0130098351828462	0.0422528334281214	0.00633719134905519	0.0237200775190036	0.0161430866993465	0.020081860352797	0.156554537747967	0.00621131515281388	0.0950565357874056	0
"Snhg6"	0.603054374956087	0.42618398373809	0.239820578497497	0.404442576961803	0.463396510276685	0.341047267862222	0.361579907420101	0.272391103774426	0.0960329118614637	0.226374219773722	0.337840979781143	0.208421254974528	0.176790872716834	0.188795275111698	0.633223358746218
