	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Olfm4	0	2.0969723838417	0.988	0.599	0
Gkn3	0	1.39736755594104	0.513	0.211	0
Ifitm3	0	1.36433828059576	0.878	0.549	0
Jaml	0	1.19769103945778	0.807	0.473	0
2410006H16Rik	0	1.19169156185345	0.893	0.709	0
Slc12a2	0	1.18757271454052	0.717	0.437	0
Cd74	2.00094304827981E-256	1.05103516713005	0.739	0.552	3.42021195242468E-252
Clca3b	0	1.04910743467697	0.685	0.427	0
Pdgfa	1.21770196691226E-293	1.00216005471873	0.412	0.196	2.08141797204312E-289
Gas5	0	0.979686780161535	0.965	0.894	0
Zfas1	0	0.935247582308466	0.632	0.425	0
2210407C18Rik	0	0.921296597787311	0.628	0.401	0
1110038B12Rik	0	0.909229113941045	0.697	0.53	0
Cdca7	0	0.906947941314318	0.591	0.339	0
Igfbp4	0	0.857975513504681	0.43	0.178	0
H2-Eb1	1.28205750862011E-154	0.842905992699002	0.438	0.278	2.19142089948436E-150
Smoc2	2.66896143947941E-251	0.766539391689204	0.508	0.305	4.56205578850215E-247
Acot1	9.63075086780975E-259	0.756494575801578	0.394	0.19	1.64618424583472E-254
Snhg1	5.69437140446662E-193	0.746172064180496	0.681	0.581	9.7333890416548E-189
Npm1	0	0.746149415769374	0.977	0.907	0
Ascl2	4.62999782959207E-252	0.725515991070209	0.435	0.22	7.91405529012172E-248
Ifitm2	0	0.720011358516447	0.945	0.849	0
Oat	0	0.709075948254452	0.95	0.849	0
Hsp90ab1	0	0.707023978708291	0.995	0.981	0
Rgcc	9.26375064865581E-207	0.694045574200342	0.335	0.154	1.58345289837474E-202
H2-Aa	9.38767368389692E-95	0.692982953066715	0.345	0.222	1.6046350627885E-90
Soat1	3.69012953742757E-223	0.687255838871611	0.349	0.164	6.30753841832494E-219
Rps5	0	0.666958620740004	0.998	0.994	0
Sp5	1.60646700907653E-249	0.655736178483393	0.298	0.116	2.74593405861451E-245
Rps9	0	0.64045406653278	0.997	0.994	0
Epb41l4aos	2.62003169008493E-145	0.639615858136296	0.461	0.328	4.47842016786218E-141
Rps20	0	0.639394186441435	1	0.998	0
Eef1b2	0	0.63499382476274	0.987	0.976	0
Sox4	1.75473117891644E-256	0.634351430390173	0.523	0.298	2.99936200412187E-252
Impdh2	3.82205880283182E-225	0.628719006909272	0.749	0.625	6.53304511168043E-221
Rgmb	9.14798620523586E-184	0.623915411677703	0.342	0.176	1.56366528206097E-179
Rpl10a	0	0.622984920839357	0.997	0.993	0
Pabpc1	2.66092714314591E-271	0.617555836608735	0.865	0.813	4.5483227657793E-267
Rpl36a	0	0.61581007240021	0.988	0.969	0
Snhg4	3.95817904146991E-145	0.613772221627717	0.46	0.316	6.76571543558452E-141
Rpsa	0	0.604050320424207	0.999	0.996	0
Cps1	1.67804892171733E-157	0.601233752324408	0.683	0.577	2.86828902189144E-153
Rps28	0	0.599141517488441	0.996	0.993	0
Rps7	0	0.597684044061445	0.998	0.995	0
Eef1a1	0	0.595184887047264	0.999	0.996	0
Sdc4	2.38713830874214E-131	0.590957805526653	0.585	0.485	4.08033551113294E-127
Rps19	0	0.586738310377519	0.997	0.99	0
Arid5b	1.08990881774591E-142	0.58445895421904	0.336	0.192	1.86298114217308E-138
Rpl3	0	0.581299453275046	0.997	0.986	0
Rpl12	0	0.579632878872406	0.992	0.984	0
Rplp0	0	0.573496958291122	0.999	0.995	0
Cyba	3.94126591206856E-101	0.573090678125853	0.611	0.533	6.7368058234988E-97
Rps4x	0	0.571481367844792	0.998	0.994	0
Phlda1	7.38436772797026E-128	0.568937178431064	0.34	0.196	1.26220997574196E-123
Glrx	4.18719071058414E-101	0.556957619253188	0.56	0.495	7.15716508160148E-97
Clca4b	2.93767609627669E-97	0.552381768128026	0.288	0.175	5.02136975136574E-93
Rpl39	0	0.552207483919063	0.995	0.99	0
Rps15a	0	0.551193256062863	0.996	0.994	0
Rps26	0	0.547063468606641	0.998	0.996	0
Rpl37	0	0.546583284080635	0.997	0.996	0
Hes1	2.85581655496047E-61	0.546129415497643	0.405	0.333	4.88144723739393E-57
Rps3	0	0.546037974500941	0.996	0.993	0
Rpl23	0	0.538156014942246	0.999	0.997	0
Rps3a1	0	0.537846900619568	0.999	0.997	0
Rpl6	0	0.536817824295398	0.999	0.997	0
H2-Ab1	5.7503674349095E-42	0.535626356132177	0.407	0.348	9.82910305649081E-38
Rps24	0	0.53467370193996	1	0.999	0
Kcne3	1.38574239002131E-100	0.530326847831579	0.585	0.5	2.36864946726343E-96
Naca	0	0.530238977721569	0.987	0.975	0
Cd81	5.11143787653007E-200	0.525293326280206	0.842	0.752	8.73698076235284E-196
Rps21	0	0.523665958468478	0.996	0.995	0
Rpl18a	0	0.523270267786193	0.998	0.996	0
Rpl13	0	0.523212064671532	1	0.999	0
Rps27	0	0.522910081289902	0.988	0.98	0
Rps16	0	0.521444993168345	1	0.997	0
Rpl9	0	0.51959879547733	0.998	0.996	0
Rpl27a	0	0.517166971679463	0.998	0.996	0
Rps10	0	0.515140956666305	0.998	0.998	0
Rps18	0	0.514913302284025	0.997	0.993	0
Cd320	3.0037820541736E-100	0.512486164724779	0.349	0.233	5.13436466519894E-96
Rps8	0	0.511423724886891	1	0.999	0
Rpl24	0	0.508646454017908	0.997	0.992	0
Rplp1	0	0.505324588092527	0.999	0.997	0
Rpl17	0	0.503948948043595	0.995	0.99	0
Rps13	0	0.503323513851118	0.997	0.995	0
Axin2	1.10427888788928E-125	0.503202602408604	0.279	0.148	1.88754390306915E-121
Rpl32	0	0.502002648601043	0.999	0.998	0
Rps27a	0	0.501760584848579	1	0.998	0
Rpl15	0	0.495002113319803	0.998	0.994	0
Rpl18	0	0.494795745120595	0.998	0.998	0
Rps12	0	0.494608542133103	0.998	0.997	0
Rpl7	0	0.49144404994058	0.996	0.988	0
Cdk6	2.49102978262507E-99	0.491079375325506	0.265	0.151	4.25791720744103E-95
Zfp36l2	4.03505023602916E-85	0.490205905140254	0.508	0.427	6.89711136844465E-81
Rpl22	0	0.486522045072771	0.991	0.984	0
Dhrs4	3.40169612440897E-110	0.486099485290514	0.745	0.692	5.81451918545225E-106
Eif3f	8.3232320021851e-308	0.485140932098515	0.96	0.941	1.4226900461335E-303
Rpl35a	0	0.484835649317219	0.998	0.996	0
Rpl30	0	0.482673289510412	0.998	0.996	0
Ivns1abp	4.62256489679249E-74	0.480457432718956	0.569	0.534	7.90135017808741E-70
Rack1	0	0.477429097679584	0.992	0.982	0
Rpl28	0	0.475630040379724	1	0.997	0
Rpl36	0	0.47357300321351	0.996	0.996	0
Hspa8	0	0.472956530459307	0.985	0.972	0
Rpl37a	0	0.472469617915344	0.995	0.995	0
Sypl	7.21462718703189E-94	0.469915954066599	0.675	0.653	1.23319622507936E-89
Hmgn1	3.70678872962582E-147	0.460835545892026	0.792	0.67	6.33601397554941E-143
Rps2	0	0.460792384193787	0.999	0.995	0
Efna4	3.02627869081732E-88	0.453194242434374	0.267	0.16	5.17281816621404E-84
Rpl21	0	0.452874009348841	0.999	0.997	0
App	4.07944341153581E-54	0.450780199012981	0.4	0.33	6.97299262333817E-50
Sox9	3.8962304638029E-81	0.449352199157749	0.321	0.213	6.65982673177829E-77
Rps23	0	0.448445863037858	0.995	0.989	0
Rps14	0	0.446970399540377	0.997	0.997	0
Gas6	1.62433910227025E-66	0.441965665769493	0.274	0.183	2.77648282751054E-62
Rps11	0	0.441497668308879	0.998	0.995	0
Rpl34	0	0.441087929636555	0.998	0.996	0
Eef2	1.04465890634383E-236	0.432394444051823	0.956	0.957	1.78563546861351E-232
Eif3h	3.27747221166981E-182	0.430479638446585	0.907	0.884	5.60218325140721E-178
Hook1	2.04314222340062E-44	0.429427865781813	0.49	0.456	3.49234300245868E-40
Rpl14	0	0.427800971182767	0.994	0.992	0
Hopx	2.61069985405441E-103	0.422720056115961	0.642	0.569	4.46246926053521E-99
Rpl8	0	0.422322222129617	0.996	0.995	0
Rpl26	0	0.418171863839108	0.997	0.995	0
