	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Defa30	0	6.74242314594943	1	0.955	0
Gm14851	0	6.56506395644784	0.984	0.847	0
AY761184	0	6.46203252765612	1	0.872	0
Lyz1	0	6.23261876966497	0.994	0.457	0
Defa24	0	6.00271081811171	1	0.997	0
Defa22	0	6.00081982072155	0.937	0.476	0
Defa21	0	5.96264221122479	0.931	0.499	0
Defa29	0	5.95299089474515	0.975	0.505	0
Itln1	0	5.61291497929618	0.997	0.468	0
Defa36	0	5.00153349314589	0.974	0.101	0
Defa26	0	4.43380693824803	0.978	0.098	0
Defa23	0	4.26603961165807	0.903	0.063	0
Ang4	0	4.25666677242949	0.911	0.116	0
Mptx2	0	4.25254790390375	0.744	0.076	0
Defa17	0	4.13987763029879	0.983	0.224	0
Clps	0	4.11100304456975	0.967	0.158	0
Defa5	0	3.67368003153711	0.869	0.048	0
Gm15292	0	3.67088803724847	0.875	0.059	0
Gm15293	0	3.62435833406571	0.855	0.047	0
Gm7861	0	3.38485505758511	0.946	0.058	0
Defa3	0	3.32359179264498	0.968	0.072	0
Mmp7	0	3.05032447354229	0.963	0.158	0
Defa34	0	3.02039982398617	0.744	0.02	0
Pnliprp2	0	2.84264510737356	0.893	0.036	0
Rnase1	0	2.06574199481299	0.868	0.145	0
Reg4	0	2.00432715301423	0.951	0.09	0
Nupr1	0	1.66410384570989	0.865	0.1	0
Guca2b	0	1.62835593019446	0.935	0.214	0
Defa27	0	1.57650743706732	0.612	0.007	0
Defa35	0	1.24620732316393	0.573	0.005	0
Spink4	0	1.22254557140734	1	0.866	0
Ccl6	0	1.19185991710235	0.915	0.179	0
Lars2	5.79982833970182E-118	0.827509929721992	0.55	0.198	9.91364658105231E-114
Gm42418	0.615730495782864	0.819119353542234	0.994	0.982	1
Bambi	0	0.758532390967545	0.608	0.033	0
Tmed6	0	0.755806119850709	0.705	0.086	0
Tent5c	0	0.67119625327615	0.586	0.028	0
Habp2	0	0.634249131591096	0.587	0.012	0
Gm7849	0	0.60837928207222	0.564	0.001	0
Defa20	0	0.582134446627611	0.306	0.004	0
Apoc2	0	0.578323718535835	0.619	0.082	0
Defa28	0	0.510815024229086	0.472	0.003	0
Gadd45g	0	0.499059652859294	0.606	0.096	0
Samd5	0	0.492764731756247	0.386	0.004	0
Qsox1	2.97706808186692E-249	0.477087598124943	0.725	0.197	5.08870247233513E-245
P4hb	7.06836185653747E-62	0.400340085768541	0.917	0.542	1.20819509213795E-57
Ramp1	0	0.398264588654684	0.739	0.135	0
Lbh	0	0.385752137648819	0.49	0.076	0
Nr2c2ap	4.35318957387437E-14	-0.370237864245212	0.192	0.26	7.44090693862347E-10
Yif1b	6.2060538839939E-06	-0.370917483659985	0.282	0.285	0.106080079039108
M6pr	4.70661222988824E-09	-0.370988772215253	0.237	0.27	8.04501228454797E-05
Bcl10	8.82130335637491E-16	-0.371874482664266	0.184	0.26	1.50782538270516E-11
Thap4	8.5977814224673E-21	-0.372154620222839	0.153	0.254	1.46961877854233E-16
Pdcd2	1.62980598504332E-12	-0.372582115742356	0.2	0.258	2.78582737023455E-08
Fxn	3.5350923843858E-12	-0.372732139456098	0.215	0.269	6.04253341263066E-08
Cltc	3.45090006616073E-05	-0.372889923750678	0.327	0.315	0.589862348308854
Rae1	4.33244615980717E-13	-0.372915782540322	0.201	0.264	7.4054502209584E-09
Rnf10	3.00078920273291E-10	-0.373010283015335	0.277	0.308	5.12924898423136E-06
Dguok	3.68067357742363E-13	-0.373169020935102	0.222	0.279	6.29137534589021E-09
Gm47283	1.31051544121834E-06	-0.373527292779653	0.231	0.26	0.022400640436745
Hp1bp3	4.89752230652148E-10	-0.373701183273427	0.212	0.259	8.37133487853716E-06
Cd164	2.64201342480305E-05	-0.373781295537352	0.278	0.281	0.451599354701586
