#overlapped_Set8KO_H3K27ac Enhancers
#Created from SE_Set8KO/overlapped_Set8KO_H3K27ac_12KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by Set8KO_merged.bam
#Using cutoff of 17447.22 for Super-Enhancers
#Created on Νοε 24 2021 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	Set8KO_merged.bam	Set8KO_Input_merged.bam	enhancerRank	isSuper
9_Set8KO_H3K27ac_rep_A_peak_26598_lociStitched	chr18	84847937	84923117	9	68207	172184.754	10833.438	1	1
14_Set8KO_H3K27ac_rep_A_peak_32905_lociStitched	chr2	167751696	167868149	14	84777	166993.602	14230.5566	2	1
13_Set8KO_H3K27ac_rep_A_peak_52856_lociStitched	chr8	117644600	117748480	13	64171	158063.808	12569.48	3	1
26_Set8KO_H3K27ac_rep_A_peak_18604_lociStitched	chr15	58974219	59085231	26	77651	152497.1844	14642.4828	4	1
23_Set8KO_H3K27ac_rep_A_peak_19503_lociStitched	chr15	82338162	82460644	23	70173	150861.0794	13619.9984	5	1
13_Set8KO_H3K27ac_rep_A_peak_54400_lociStitched	chr9	46196397	46283864	13	56752	144215.5896	10863.4014	6	1
25_Set8KO_H3K27ac_rep_A_peak_56130_lociStitched	chr9	107534021	107676541	25	77608	148206.548	17629.724	7	1
20_Set8KO_H3K27ac_rep_A_peak_39517_lociStitched	chr4	150682969	150808186	20	53860	144412.7661	14963.4315	8	1
6_Set8KO_H3K27ac_rep_A_peak_30488_lociStitched	chr2	72148866	72202880	6	41813	130978.5486	7799.6216	9	1
13_Set8KO_H3K27ac_rep_A_peak_19465_lociStitched	chr15	81800889	81899686	13	55297	134818.3862	13248.6777	10	1
25_Set8KO_H3K27ac_rep_A_peak_19655_lociStitched	chr15	85599148	85755541	25	65776	138032.4618	18751.5207	11	1
12_Set8KO_H3K27ac_rep_A_peak_51547_lociStitched	chr8	70607662	70703501	12	50088	128040.904	11836.1165	12	1
10_Set8KO_H3K27ac_rep_A_peak_29370_lociStitched	chr2	27539760	27604942	10	44823	119074.4776	8577.9512	13	1
