""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"chr14-103937664-103938668"	1.21327454913876e-13	0.760117414172889	0.264	0.031	1.48766872117199e-08
"chr18-44642851-44644339"	1.56177819732517e-12	0.406456137313038	0.273	0.14	1.91498995443223e-07
"chr17-83997681-84001673"	8.46340981084419e-12	0.277058469510345	0.518	0.431	1.03774945736647e-06
"chr10-83984441-83985923"	8.87240983723411e-12	0.40119563808238	0.355	0.222	1.0878994046023e-06
"chr1-24612270-24613355"	8.37582946645647e-11	0.449744176062514	0.6	0.451	1.02701070585903e-05
"chr2-3748471-3750088"	9.65654174706954e-11	0.321781870366313	0.373	0.296	1.18404652285868e-05
"chr15-39813419-39814575"	1.88465670898728e-10	0.425031191112518	0.236	0.113	2.31089067029185e-05
"chr16-85454964-85455615"	4.97099916138962e-10	0.360386185708666	0.2	0.094	6.0952403317295e-05
"chr13-119612835-119617785"	5.1703994360294e-10	0.328626191382299	0.464	0.392	6.33973697248181e-05
"chr1-169916630-169919940"	5.30357061149831e-10	0.311727829696439	0.409	0.334	6.50302614099476e-05
"chr10-107668334-107669375"	8.32371616540289e-10	0.371399362889088	0.2	0.094	0.000102062078133704
"chr1-82150666-82151516"	9.48356315640232e-10	0.390188472522364	0.245	0.131	0.000116283657998543
"chr6-42691945-42693375"	9.73026694698668e-10	0.345755046447281	0.282	0.17	0.000119308641197172
"chr18-15402432-15403877"	2.27089168702276e-09	0.346694986200582	0.282	0.171	0.000278447655095983
"chr5-63825615-63828177"	3.69244318753085e-09	0.299532156020399	0.264	0.222	0.000452752613882282
"chr1-82289980-82292103"	4.34141637129928e-09	0.420102147124309	0.336	0.222	0.000532327109783233
"chr1-144018358-144019100"	4.62765929458714e-09	0.353905756809473	0.173	0.08	0.000567425072065096
"chr17-14233604-14235856"	5.28526995651241e-09	0.253833703591134	0.291	0.233	0.000648058660987726
"chr10-111558189-111560551"	7.08075420851881e-09	0.252808275633266	0.282	0.23	0.000868213758031742
"chr1-107941632-107942382"	7.24285031279956e-09	0.35333784273348	0.191	0.082	0.000888089333954231
"chr13-119333700-119334517"	8.16198546899504e-09	0.272529066373802	0.236	0.141	0.0010007900102663
"chr1-168307413-168308254"	1.9689450558044e-08	0.504451544353187	0.1	0.004	0.00241424166962513
