"tx_id" "gene_name" "gene_id" "gene_biotype" "type" "closest_region" "query_region" "distance"
"ENSMUST00000180521" "ENSMUST00000180521" "1810049J17Rik" "ENSMUSG00000097221" "protein_coding" "cds" "chr15-12321438-12321899" "chr15-12306483-12307586" 13851
"ENSMUST00000164309" "ENSMUST00000164309" "Mcm5" "ENSMUSG00000005410" "protein_coding" "utr" "chr8-75127325-75128439" "chr8-75154711-75156212" 26271
"ENSMUSE00000813282" "ENSMUST00000147678" "Gm14102" "ENSMUSG00000086478" "lincRNA" "exon" "chr2-132959565-132959805" "chr2-132989723-132990677" 29917
"ENSMUST00000005262" "ENSMUST00000005262" "4930550C14Rik" "ENSMUSG00000005131" "protein_coding" "gap" "chr9-53408143-53411746" "chr9-53408577-53409261" 0
"ENSMUST00000162021" "ENSMUST00000162021" "Tpsg1" "ENSMUSG00000033200" "protein_coding" "cds" "chr17-25370652-25370700" "chr17-25369969-25371378" 0
"ENSMUSE00000806933" "ENSMUST00000129082" "9030622O22Rik" "ENSMUSG00000086141" "lincRNA" "exon" "chr2-147944740-147945032" "chr2-147931701-147932633" 12106
"ENSMUST00000080368" "ENSMUST00000080368" "Atp8a2" "ENSMUSG00000021983" "protein_coding" "gap" "chr14-59860314-59925006" "chr14-59890674-59891299" 0
"ENSMUST00000185406" "ENSMUST00000185406" "Muc2" "ENSMUSG00000025515" "protein_coding" "cds" "chr7-141690369-141690444" "chr7-141689361-141690943" 0
"ENSMUST00000095743" "ENSMUST00000095743" "Cdk19" "ENSMUSG00000038481" "protein_coding" "utr" "chr10-40479804-40483818" "chr10-40522935-40523433" 39116
"ENSMUST00000036555" "ENSMUST00000036555" "Myo5c" "ENSMUSG00000033590" "protein_coding" "gap" "chr9-75232176-75242761" "chr9-75238135-75238694" 0
"ENSMUST00000136965" "ENSMUST00000136965" "Pik3cb" "ENSMUSG00000032462" "protein_coding" "gap" "chr9-99041054-99042523" "chr9-99042008-99042440" 0
"ENSMUST00000109152" "ENSMUST00000109152" "Bcas1" "ENSMUSG00000013523" "protein_coding" "utr" "chr2-170427746-170427845" "chr2-170427639-170429456" 0
"ENSMUSE00001290738" "ENSMUST00000034230" "Cx3cl1" "ENSMUSG00000031778" "protein_coding" "exon" "chr8-94772009-94772334" "chr8-94765266-94765521" 6487
"ENSMUST00000183096" "ENSMUST00000183096" "Sipa1l3" "ENSMUSG00000030583" "protein_coding" "gap" "chr7-29401150-29434748" "chr7-29424596-29425723" 0
"ENSMUST00000071563" "ENSMUST00000071563" "Cracr2a" "ENSMUSG00000061414" "protein_coding" "gap" "chr6-127578092-127603829" "chr6-127586031-127587088" 0
"ENSMUSE00000613670" "ENSMUST00000089017" "Fndc3a" "ENSMUSG00000033487" "protein_coding" "exon" "chr14-72709718-72710003" "chr14-72750474-72751226" 40470
"ENSMUST00000108846" "ENSMUST00000108846" "Galnt10" "ENSMUSG00000020520" "protein_coding" "gap" "chr11-57645718-57721294" "chr11-57676550-57677339" 0
"ENSMUST00000051065" "ENSMUST00000051065" "Gprin3" "ENSMUSG00000045441" "protein_coding" "gap" "chr6-59355430-59426159" "chr6-59389977-59390851" 0
"ENSMUST00000139751" "ENSMUST00000139751" "AY512931" "ENSMUSG00000066158" "processed_transcript" "gap" "chr8-45063309-45064924" "chr8-45062843-45064621" 0
"ENSMUST00000017288" "ENSMUST00000017288" "Rnd3" "ENSMUSG00000017144" "protein_coding" "utr" "chr2-51130438-51132293" "chr2-50885140-50885648" 244789
"ENSMUSE00000679178" "ENSMUST00000068137" "Bcas1" "ENSMUSG00000013523" "protein_coding" "exon" "chr2-170427746-170427845" "chr2-170431352-170431970" 3506
"ENSMUST00000127664" "ENSMUST00000127664" "Gm20388" "ENSMUSG00000092329" "protein_coding" "gap" "chr8-119910940-124295357" "chr8-123781078-123781853" 0
"ENSMUST00000018333" "ENSMUST00000018333" "Uchl5" "ENSMUSG00000018189" "protein_coding" "utr" "chr1-143806729-143807466" "chr1-143809962-143810277" 2495
"ENSMUSE00001321257" "ENSMUST00000185406" "Muc2" "ENSMUSG00000025515" "protein_coding" "exon" "chr7-141690340-141690444" "chr7-141673250-141673756" 16583
"ENSMUST00000047013" "ENSMUST00000047013" "Cmtm8" "ENSMUSG00000041012" "protein_coding" "gap" "chr9-114796215-114843780" "chr9-114804973-114805804" 0
"ENSMUST00000153360" "ENSMUST00000153360" "Ino80c" "ENSMUSG00000047989" "protein_coding" "utr" "chr18-24104757-24106526" "chr18-24101397-24102957" 1799
"ENSMUST00000080371" "ENSMUST00000080371" "Mtss1" "ENSMUSG00000022353" "protein_coding" "gap" "chr15-59058423-59081455" "chr15-59058913-59059599" 0
"ENSMUSE00000437256" "ENSMUST00000194543" "Mia3" "ENSMUSG00000056050" "protein_coding" "exon" "chr1-183369397-183369553" "chr1-183378325-183378984" 8771
"ENSMUST00000005406" "ENSMUST00000005406" "App" "ENSMUSG00000022892" "protein_coding" "gap" "chr16-85030366-85056323" "chr16-85033710-85034533" 0
"ENSMUSE00000243472" "ENSMUST00000107210" "Sytl2" "ENSMUSG00000030616" "protein_coding" "exon" "chr7-90348699-90348892" "chr7-90322459-90323341" 25357
"ENSMUST00000107327" "ENSMUST00000107327" "Gm11758" "ENSMUSG00000096530" "protein_coding" "utr" "chr4-73872219-73872341" "chr4-73838080-73838437" 33781
"ENSMUSE00000549158" "ENSMUST00000087951" "Vps37c" "ENSMUSG00000048832" "protein_coding" "exon" "chr19-10688815-10688979" "chr19-10685632-10686124" 2690
"ENSMUSE00000810374" "ENSMUST00000030606" "Rcan3" "ENSMUSG00000059713" "protein_coding" "exon" "chr4-135433612-135433853" "chr4-135437538-135437899" 3684
"ENSMUST00000167489" "ENSMUST00000167489" "Spdef" "ENSMUSG00000024215" "protein_coding" "gap" "chr17-27720397-27728552" "chr17-27721094-27721867" 0
"ENSMUST00000130524" "ENSMUST00000130524" "Plcb1" "ENSMUSG00000051177" "protein_coding" "gap" "chr2-134813679-134988123" "chr2-134851175-134851556" 0
"ENSMUST00000149067" "ENSMUST00000149067" "Itpkc" "ENSMUSG00000003752" "protein_coding" "gap" "chr7-27213062-27214375" "chr7-27213569-27213853" 0
"ENSMUSE00000700901" "ENSMUST00000090355" "Rbm33" "ENSMUSG00000048271" "protein_coding" "exon" "chr5-28317121-28317410" "chr5-28302751-28303124" 13996
"ENSMUST00000036555.1" "ENSMUST00000036555" "Myo5c" "ENSMUSG00000033590" "protein_coding" "gap" "chr9-75263126-75266067" "chr9-75263887-75265118" 0
"ENSMUST00000179937" "ENSMUST00000179937" "Tnfaip8" "ENSMUSG00000062210" "protein_coding" "gap" "chr18-49979627-50090199" "chr18-50000164-50000976" 0
"ENSMUST00000155170" "ENSMUST00000155170" "Lpar1" "ENSMUSG00000038668" "protein_coding" "gap" "chr4-58504782-58543809" "chr4-58511552-58511899" 0
"ENSMUST00000099888" "ENSMUST00000099888" "F930017D23Rik" "ENSMUSG00000075184" "protein_coding" "utr" "chr10-43629391-43630916" "chr10-43662436-43662821" 31519
"ENSMUST00000173099" "ENSMUST00000173099" "Mcf2l" "ENSMUSG00000031442" "protein_coding" "gap" "chr8-12915496-12963163" "chr8-12933696-12936197" 0
"ENSMUST00000148954" "ENSMUST00000148954" "Grip1" "ENSMUSG00000034813" "protein_coding" "gap" "chr10-119897796-119929900" "chr10-119925920-119926243" 0
"ENSMUST00000133086" "ENSMUST00000133086" "Capn9" "ENSMUSG00000031981" "protein_coding" "gap" "chr8-124576221-124589032" "chr8-124585293-124586460" 0
"ENSMUST00000022212" "ENSMUST00000022212" "Plk2" "ENSMUSG00000021701" "protein_coding" "utr" "chr13-110400225-110400844" "chr13-110643250-110644101" 242405
"ENSMUSE00000637164" "ENSMUST00000054791" "Vtcn1" "ENSMUSG00000051076" "protein_coding" "exon" "chr3-100825459-100825590" "chr3-100820897-100821584" 3874
"ENSMUSE00000835525" "ENSMUST00000152190" "Gm12510" "ENSMUSG00000086346" "lincRNA" "exon" "chr4-55465699-55465814" "chr4-55486079-55487231" 20264
"ENSMUST00000190837" "ENSMUST00000190837" "Sytl2" "ENSMUSG00000030616" "protein_coding" "gap" "chr7-90360178-90371456" "chr7-90362665-90363307" 0
"ENSMUSE00001327397" "ENSMUST00000185722" "Gm20125" "ENSMUSG00000101969" "lincRNA" "exon" "chr10-17095443-17095782" "chr10-17134328-17134688" 38545
"ENSMUSE00000794617" "ENSMUST00000105397" "1810043G02Rik" "ENSMUSG00000020284" "protein_coding" "exon" "chr10-77978524-77978781" "chr10-77975604-77976129" 2394
