PeakID (cmd=annotatePeaks.pl overlapped_H3K27ac.bed /media/dimbo/10T/data/talianidis_data/genomes/mm10/hisat_index/mm10.fa -gtf /media/dimbo/10T/data/talianidis_data/genomes/mm10/genes_info/mm10_GENES_GENCODE.VM23.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
H3K27ac_i73_peak_8255	chr6	124493604	124494294	+	123	NA	exon (ENSMUST00000049124.9, exon 2 of 6)	-exon (ENSMUST00000049124.9, exon 2 of 6)	419	ENSMUST00000203171.1	ENSMUST00000203171	ENSMUST00000203171						NA
H3K27ac_i73_peak_6665	chr4	62026361	62026757	+	123	NA	Intergenic	Intergenic	5103	ENSMUST00000119998.1	ENSMUST00000119998	ENSMUST00000119998						NA
H3K27ac_i73_peak_9514	chr8	91403603	91404079	+	119	NA	intron (ENSMUST00000166548.8, intron 3 of 4)	-intron (ENSMUST00000069718.14, intron 2 of 8)	-11896	ENSMUST00000209572.1	ENSMUST00000209572	ENSMUST00000209572						NA
H3K27ac_i73_peak_5241	chr2	4918789	4919129	+	114	NA	promoter-TSS (ENSMUST00000027975.7)	-promoter-TSS (ENSMUST00000027975.7)	-60	ENSMUST00000027975.7	ENSMUST00000027975	ENSMUST00000027975						NA
H3K27ac_i73_peak_1592	chr11	77787739	77788168	+	114	NA	promoter-TSS (ENSMUST00000092883.2)	-promoter-TSS (ENSMUST00000092883.2)	-206	ENSMUST00000092883.2	ENSMUST00000092883	ENSMUST00000092883						NA
H3K27ac_i73_peak_7367	chr5	88587593	88587905	+	113	NA	intron (ENSMUST00000199207.1, intron 1 of 2)	-intron (ENSMUST00000031229.10, intron 1 of 12)	3955	ENSMUST00000196686.1	ENSMUST00000196686	ENSMUST00000196686						NA
H3K27ac_i73_peak_6206	chr3	88143033	88143618	+	112	NA	intron (ENSMUST00000140927.1, intron 1 of 1)	-intron (ENSMUST00000001455.12, intron 1 of 10)	751	ENSMUST00000140927.1	ENSMUST00000140927	ENSMUST00000140927						NA
H3K27ac_i73_peak_4511	chr17	84156113	84156528	+	112	NA	exon (ENSMUST00000234394.1, exon 1 of 4)	-exon (ENSMUST00000234394.1, exon 1 of 4)	106	ENSMUST00000234659.1	ENSMUST00000234659	ENSMUST00000234659						NA
H3K27ac_i73_peak_5752	chr2	132269235	132269612	+	110	NA	intron (ENSMUST00000147456.1, intron 1 of 3)	-intron (ENSMUST00000103181.10, intron 1 of 12)	6182	ENSMUST00000147456.1	ENSMUST00000147456	ENSMUST00000147456						NA
H3K27ac_i73_peak_8858	chr7	84145689	84146101	+	107	NA	intron (ENSMUST00000131505.1, intron 1 of 2)	-intron (ENSMUST00000117085.1, intron 1 of 2)	1920	ENSMUST00000131505.1	ENSMUST00000131505	ENSMUST00000131505						NA
