PeakID (cmd=annotatePeaks.pl overlapped_H3K9me3.bed /media/dimbo/10T/data/talianidis_data/genomes/mm10/hisat_index/mm10.fa -gtf /media/dimbo/10T/data/talianidis_data/genomes/mm10/genes_info/mm10_GENES_GENCODE.VM23.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
H3K9me3_i71_peak_5207	chrUn_JH584304	78671	78892	+	158	NA	Intergenic	Intergenic	-19091	ENSMUST00000178343.1	ENSMUST00000178343	ENSMUST00000178343						NA
H3K9me3_i71_peak_1640	chr14	71446826	71447180	+	115	NA	Intergenic	Intergenic	25991	ENSMUST00000226329.1	ENSMUST00000226329	ENSMUST00000226329						NA
H3K9me3_i71_peak_4808	chr8	106424309	106425675	+	111	NA	exon (ENSMUST00000034382.7, exon 4 of 4)	-exon (ENSMUST00000034382.7, exon 4 of 4)	9593	ENSMUST00000212874.1	ENSMUST00000212874	ENSMUST00000212874						NA
H3K9me3_i71_peak_2580	chr18	70215913	70216319	+	104	NA	Intergenic	Intergenic	28466	ENSMUST00000025390.3	ENSMUST00000025390	ENSMUST00000025390						NA
H3K9me3_i71_peak_432	chr10	41786759	41787431	+	104	NA	intron (ENSMUST00000187143.6, intron 1 of 10)	-intron (ENSMUST00000019951.15, intron 1 of 10)	22512	ENSMUST00000190022.6	ENSMUST00000190022	ENSMUST00000190022						NA
H3K9me3_i71_peak_2843	chr2	132362127	132362733	+	99	NA	intron (ENSMUST00000110157.8, intron 2 of 2)	-intron (ENSMUST00000110157.8, intron 2 of 2)	22970	ENSMUST00000049997.13	ENSMUST00000049997	ENSMUST00000049997						NA
H3K9me3_i71_peak_815	chr11	58858182	58860100	+	98	NA	promoter-TSS (ENSMUST00000093768.3)	-promoter-TSS (ENSMUST00000093768.3)	-292	ENSMUST00000093768.3	ENSMUST00000093768	ENSMUST00000093768						NA
H3K9me3_i71_peak_3363	chr4	143925688	143926158	+	98	NA	Intergenic	Intergenic	4813	ENSMUST00000119045.1	ENSMUST00000119045	ENSMUST00000119045						NA
H3K9me3_i71_peak_1405	chr13	66280222	66280483	+	98	NA	promoter-TSS (ENSMUST00000225908.1)	-promoter-TSS (ENSMUST00000225908.1)	-295	ENSMUST00000225908.1	ENSMUST00000225908	ENSMUST00000225908						NA
H3K9me3_i71_peak_113	chr1	53613405	53613824	+	95	NA	intron (ENSMUST00000094964.6, intron 19 of 65)	-intron (ENSMUST00000094964.6, intron 19 of 65)	93147	ENSMUST00000094964.6	ENSMUST00000094964	ENSMUST00000094964						NA
H3K9me3_i71_peak_303	chr1	179268555	179269847	+	95	NA	intron (ENSMUST00000128302.7, intron 5 of 11)	-intron (ENSMUST00000128302.7, intron 5 of 11)	-20361	ENSMUST00000068437.12	ENSMUST00000068437	ENSMUST00000068437						NA
H3K9me3_i71_peak_2716	chr2	25727637	25728155	+	94	NA	Intergenic	Intergenic	-9113	ENSMUST00000114192.1	ENSMUST00000114192	ENSMUST00000114192						NA
H3K9me3_i71_peak_2359	chr18	6423378	6423977	+	93	NA	Intergenic	Intergenic	18217	ENSMUST00000124926.2	ENSMUST00000124926	ENSMUST00000124926						NA
H3K9me3_i71_peak_2653	chr19	42941980	42943773	+	93	NA	intron (ENSMUST00000238153.1, intron 6 of 8)	-intron (ENSMUST00000099428.4, intron 6 of 11)	-162898	ENSMUST00000162004.7	ENSMUST00000162004	ENSMUST00000162004						NA
H3K9me3_i71_peak_3944	chr5	142053482	142054390	+	92	NA	intron (ENSMUST00000085774.10, intron 22 of 44)	-intron (ENSMUST00000074546.6, intron 18 of 40)	197149	ENSMUST00000074546.6	ENSMUST00000074546	ENSMUST00000074546						NA
H3K9me3_i71_peak_2971	chr2	174003666	174005026	+	92	NA	Intergenic	Intergenic	-19655	ENSMUST00000120437.1	ENSMUST00000120437	ENSMUST00000120437						NA
H3K9me3_i71_peak_2484	chr18	37555953	37556699	+	92	NA	intron (ENSMUST00000193984.1, intron 1 of 2)	-intron (ENSMUST00000115661.4, intron 1 of 3)	37967	ENSMUST00000097609.2	ENSMUST00000097609	ENSMUST00000097609						NA
H3K9me3_i71_peak_1960	chr17	16969548	16969927	+	91	NA	intron (ENSMUST00000190415.1, intron 1 of 2)	-intron (ENSMUST00000190415.1, intron 1 of 2)	-3173	ENSMUST00000071374.5	ENSMUST00000071374	ENSMUST00000071374						NA
H3K9me3_i71_peak_959	chr12	17904944	17905163	+	90	NA	TTS (ENSMUST00000221489.1)	-TTS (ENSMUST00000221489.1)	2664	ENSMUST00000221489.1	ENSMUST00000221489	ENSMUST00000221489						NA
H3K9me3_i71_peak_4265	chr7	18671156	18671425	+	89	NA	Intergenic	Intergenic	-3327	ENSMUST00000208052.1	ENSMUST00000208052	ENSMUST00000208052						NA
H3K9me3_i71_peak_1721	chr15	37867499	37868282	+	89	NA	promoter-TSS (ENSMUST00000180745.1)	-promoter-TSS (ENSMUST00000180745.1)	-196	ENSMUST00000180745.1	ENSMUST00000180745	ENSMUST00000180745						NA
H3K9me3_i71_peak_3941	chr5	142049002	142049794	+	88	NA	intron (ENSMUST00000085774.10, intron 21 of 44)	-intron (ENSMUST00000074546.6, intron 17 of 40)	192611	ENSMUST00000074546.6	ENSMUST00000074546	ENSMUST00000074546						NA
H3K9me3_i71_peak_4329	chr7	29792718	29793584	+	87	NA	exon (ENSMUST00000032803.11, exon 5 of 5)	-exon (ENSMUST00000032803.11, exon 5 of 5)	6645	ENSMUST00000208224.1	ENSMUST00000208224	ENSMUST00000208224						NA
H3K9me3_i71_peak_4978	chr9	16737287	16737604	+	87	NA	Intergenic	Intergenic	-236160	ENSMUST00000217308.2	ENSMUST00000217308	ENSMUST00000217308						NA
H3K9me3_i71_peak_5080	chr9	82778401	82778724	+	87	NA	Intergenic	Intergenic	-50978	ENSMUST00000113245.8	ENSMUST00000113245	ENSMUST00000113245						NA
H3K9me3_i71_peak_729	chr11	20414806	20419130	+	84	NA	Intergenic	Intergenic	-29444	ENSMUST00000119032.1	ENSMUST00000119032	ENSMUST00000119032						NA
H3K9me3_i71_peak_4192	chr7	6608877	6609233	+	84	NA	Intergenic	Intergenic	39062	ENSMUST00000070985.3	ENSMUST00000070985	ENSMUST00000070985						NA
H3K9me3_i71_peak_4313	chr7	27994033	27994498	+	83	NA	intron (ENSMUST00000180502.7, intron 5 of 5)	-intron (ENSMUST00000180024.1, intron 3 of 3)	-8469	ENSMUST00000099111.3	ENSMUST00000099111	ENSMUST00000099111						NA
H3K9me3_i71_peak_772	chr11	50814559	50816405	+	83	NA	exon (ENSMUST00000000632.6, exon 4 of 4)	-exon (ENSMUST00000000632.6, exon 4 of 4)	5831	ENSMUST00000157580.1	ENSMUST00000157580	ENSMUST00000157580						NA
H3K9me3_i71_peak_1847	chr16	17991692	17992759	+	83	NA	Intergenic	Intergenic	11797	ENSMUST00000075371.4	ENSMUST00000075371	ENSMUST00000075371						NA
H3K9me3_i71_peak_4423	chr7	41479341	41479834	+	83	NA	exon (ENSMUST00000098509.4, exon 4 of 4)	-exon (ENSMUST00000098509.4, exon 4 of 4)	2979	ENSMUST00000205572.1	ENSMUST00000205572	ENSMUST00000205572						NA
H3K9me3_i71_peak_4104	chr6	116506238	116506502	+	83	NA	promoter-TSS (ENSMUST00000075756.2)	-promoter-TSS (ENSMUST00000075756.2)	-146	ENSMUST00000075756.2	ENSMUST00000075756	ENSMUST00000075756						NA
H3K9me3_i71_peak_813	chr11	58746852	58747205	+	83	NA	Intergenic	Intergenic	-5706	ENSMUST00000215071.1	ENSMUST00000215071	ENSMUST00000215071						NA
H3K9me3_i71_peak_4717	chr8	69219899	69220422	+	82	NA	intron (ENSMUST00000212681.1, intron 1 of 3)	-intron (ENSMUST00000212312.1, intron 1 of 2)	5632	ENSMUST00000212090.1	ENSMUST00000212090	ENSMUST00000212090						NA
H3K9me3_i71_peak_477	chr10	66766663	66767098	+	82	NA	Intergenic	Intergenic	7426	ENSMUST00000220363.1	ENSMUST00000220363	ENSMUST00000220363						NA
H3K9me3_i71_peak_3240	chr4	7763875	7764296	+	82	NA	promoter-TSS (ENSMUST00000119446.1)	-promoter-TSS (ENSMUST00000119446.1)	-585	ENSMUST00000119446.1	ENSMUST00000119446	ENSMUST00000119446						NA
H3K9me3_i71_peak_514	chr10	81656181	81656525	+	82	NA	intron (ENSMUST00000189672.6, intron 1 of 3)	-intron (ENSMUST00000189672.6, intron 1 of 3)	-5645	ENSMUST00000105315.2	ENSMUST00000105315	ENSMUST00000105315						NA
H3K9me3_i71_peak_4990	chr9	20366788	20367344	+	82	NA	intron (ENSMUST00000143992.2, intron 1 of 2)	-intron (ENSMUST00000068079.13, intron 1 of 6)	-11420	ENSMUST00000214965.1	ENSMUST00000214965	ENSMUST00000214965						NA
H3K9me3_i71_peak_2601	chr18	74360321	74360691	+	81	NA	TTS (ENSMUST00000114895.3)	-TTS (ENSMUST00000114895.3)	11520	ENSMUST00000177407.1	ENSMUST00000177407	ENSMUST00000177407						NA
H3K9me3_i71_peak_2454	chr18	37290408	37290816	+	81	NA	intron (ENSMUST00000193984.1, intron 1 of 2)	-intron (ENSMUST00000115661.4, intron 1 of 3)	-4200	ENSMUST00000056522.4	ENSMUST00000056522	ENSMUST00000056522						NA
H3K9me3_i71_peak_5164	chr9	121191162	121197093	+	81	NA	intron (ENSMUST00000171923.7, intron 19 of 36)	-intron (ENSMUST00000051479.12, intron 19 of 33)	-1070	ENSMUST00000164969.1	ENSMUST00000164969	ENSMUST00000164969						NA
H3K9me3_i71_peak_4988	chr9	20354818	20355187	+	80	NA	intron (ENSMUST00000143992.2, intron 1 of 2)	-intron (ENSMUST00000068079.13, intron 1 of 6)	644	ENSMUST00000214965.1	ENSMUST00000214965	ENSMUST00000214965						NA
H3K9me3_i71_peak_4974	chr9	15160758	15161144	+	80	NA	Intergenic	Intergenic	-48843	ENSMUST00000159985.1	ENSMUST00000159985	ENSMUST00000159985						NA
H3K9me3_i71_peak_2579	chr18	70148525	70148781	+	79	NA	Intergenic	Intergenic	-7048	ENSMUST00000121693.7	ENSMUST00000121693	ENSMUST00000121693						NA
H3K9me3_i71_peak_1349	chr13	62446723	62447145	+	79	NA	Intergenic	Intergenic	4675	ENSMUST00000221260.1	ENSMUST00000221260	ENSMUST00000221260						NA
H3K9me3_i71_peak_507	chr10	79072338	79072795	+	78	NA	intron (ENSMUST00000220220.1, intron 4 of 4)	-intron (ENSMUST00000039271.6, intron 4 of 5)	24959	ENSMUST00000220220.1	ENSMUST00000220220	ENSMUST00000220220						NA
H3K9me3_i71_peak_3140-2	chr3	93202122	93203876	+	78	NA	exon (ENSMUST00000098884.3, exon 2 of 6)	-exon (ENSMUST00000098884.3, exon 2 of 6)	2789	ENSMUST00000098884.3	ENSMUST00000098884	ENSMUST00000098884						NA
H3K9me3_i71_peak_3140	chr3	93202122	93203876	+	78	NA	exon (ENSMUST00000098884.3, exon 2 of 6)	-exon (ENSMUST00000098884.3, exon 2 of 6)	2789	ENSMUST00000098884.3	ENSMUST00000098884	ENSMUST00000098884						NA
H3K9me3_i71_peak_1972	chr17	17023005	17023581	+	78	NA	Intergenic	Intergenic	-40820	ENSMUST00000127027.1	ENSMUST00000127027	ENSMUST00000127027						NA
H3K9me3_i71_peak_1869	chr16	47824768	47825224	+	78	NA	Intergenic	Intergenic	66556	ENSMUST00000157458.1	ENSMUST00000157458	ENSMUST00000157458						NA
H3K9me3_i71_peak_2970	chr2	174002887	174003353	+	78	NA	Intergenic	Intergenic	-18429	ENSMUST00000120437.1	ENSMUST00000120437	ENSMUST00000120437						NA
H3K9me3_i71_peak_529	chr10	82051870	82053142	+	78	NA	intron (ENSMUST00000210325.1, intron 1 of 3)	-intron (ENSMUST00000209622.1, intron 1 of 2)	4363	ENSMUST00000209622.1	ENSMUST00000209622	ENSMUST00000209622						NA
H3K9me3_i71_peak_2675	chr19	61115751	61116185	+	77	NA	TTS (ENSMUST00000181469.1)	-TTS (ENSMUST00000181469.1)	1405	ENSMUST00000181469.1	ENSMUST00000181469	ENSMUST00000181469						NA
H3K9me3_i71_peak_4634	chr8	14454284	14454594	+	77	NA	exon (ENSMUST00000136000.7, exon 2 of 3)	-exon (ENSMUST00000136000.7, exon 2 of 3)	72443	ENSMUST00000141214.7	ENSMUST00000141214	ENSMUST00000141214						NA
H3K9me3_i71_peak_3833	chr5	109875575	109876109	+	77	NA	Intergenic	Intergenic	-10389	ENSMUST00000181101.1	ENSMUST00000181101	ENSMUST00000181101						NA
H3K9me3_i71_peak_41	chr1	13619297	13619692	+	76	NA	Intergenic	Intergenic	18917	ENSMUST00000156222.1	ENSMUST00000156222	ENSMUST00000156222						NA
H3K9me3_i71_peak_5187	chr9	124293811	124294112	+	76	NA	exon (ENSMUST00000071300.12, exon 5 of 5)	-exon (ENSMUST00000071300.12, exon 5 of 5)	-11822	ENSMUST00000214845.1	ENSMUST00000214845	ENSMUST00000214845						NA
H3K9me3_i71_peak_565	chr10	82222690	82223700	+	76	NA	Intergenic	Intergenic	18078	ENSMUST00000041264.14	ENSMUST00000041264	ENSMUST00000041264						NA
H3K9me3_i71_peak_4408	chr7	39498185	39498828	+	76	NA	exon (ENSMUST00000189105.1, exon 3 of 3)	-exon (ENSMUST00000189105.1, exon 3 of 3)	9068	ENSMUST00000189105.1	ENSMUST00000189105	ENSMUST00000189105						NA
H3K9me3_i71_peak_2156	chr17	33313154	33313551	+	76	NA	Intergenic	Intergenic	-7607	ENSMUST00000182230.2	ENSMUST00000182230	ENSMUST00000182230						NA
H3K9me3_i71_peak_4286	chr7	24198135	24199858	+	76	NA	TTS (ENSMUST00000160563.1)	-TTS (ENSMUST00000160563.1)	4587	ENSMUST00000056683.2	ENSMUST00000056683	ENSMUST00000056683						NA
H3K9me3_i71_peak_3043	chr3	21506708	21510345	+	76	NA	Intergenic	Intergenic	-95284	ENSMUST00000199468.1	ENSMUST00000199468	ENSMUST00000199468						NA
H3K9me3_i71_peak_3032	chr3	15514023	15514481	+	75	NA	intron (ENSMUST00000091319.6, intron 4 of 5)	-intron (ENSMUST00000091319.6, intron 4 of 5)	-33227	ENSMUST00000194767.1	ENSMUST00000194767	ENSMUST00000194767						NA
H3K9me3_i71_peak_3888	chr5	118389931	118390353	+	75	NA	Intergenic	Intergenic	7188	ENSMUST00000201179.1	ENSMUST00000201179	ENSMUST00000201179						NA
H3K9me3_i71_peak_2472	chr18	37528806	37529299	+	75	NA	intron (ENSMUST00000193984.1, intron 1 of 2)	-intron (ENSMUST00000115661.4, intron 1 of 3)	10693	ENSMUST00000097609.2	ENSMUST00000097609	ENSMUST00000097609						NA
H3K9me3_i71_peak_4592	chr7	133335531	133335979	+	75	NA	Intergenic	Intergenic	-2554	ENSMUST00000209700.1	ENSMUST00000209700	ENSMUST00000209700						NA
H3K9me3_i71_peak_4826	chr8	110088651	110089562	+	75	NA	exon (ENSMUST00000058804.9, exon 5 of 5)	-exon (ENSMUST00000058804.9, exon 5 of 5)	9342	ENSMUST00000058804.9	ENSMUST00000058804	ENSMUST00000058804						NA
H3K9me3_i71_peak_5088	chr9	88568807	88570813	+	75	NA	exon (ENSMUST00000161458.2, exon 5 of 5)	-exon (ENSMUST00000161458.2, exon 5 of 5)	-11081	ENSMUST00000164661.3	ENSMUST00000164661	ENSMUST00000164661						NA
H3K9me3_i71_peak_1742	chr15	52913428	52915024	+	75	NA	Intergenic	Intergenic	-127959	ENSMUST00000228167.1	ENSMUST00000228167	ENSMUST00000228167						NA
H3K9me3_i71_peak_3528	chr4	151614903	151615579	+	74	NA	intron (ENSMUST00000169423.8, intron 3 of 24)	-intron (ENSMUST00000049790.13, intron 3 of 23)	238771	ENSMUST00000129097.1	ENSMUST00000129097	ENSMUST00000129097						NA
H3K9me3_i71_peak_783	chr11	50897423	50897922	+	74	NA	Intergenic	Intergenic	-10021	ENSMUST00000125749.1	ENSMUST00000125749	ENSMUST00000125749						NA
H3K9me3_i71_peak_3207	chr3	138655682	138655944	+	74	NA	Intergenic	Intergenic	-11869	ENSMUST00000196886.1	ENSMUST00000196886	ENSMUST00000196886						NA
H3K9me3_i71_peak_735	chr11	21776573	21776864	+	73	NA	intron (ENSMUST00000020568.9, intron 13 of 17)	-intron (ENSMUST00000020568.9, intron 13 of 17)	-36681	ENSMUST00000128794.1	ENSMUST00000128794	ENSMUST00000128794						NA
H3K9me3_i71_peak_3755	chr5	104826776	104827164	+	73	NA	intron (ENSMUST00000186219.6, intron 1 of 4)	-intron (ENSMUST00000089906.6, intron 1 of 4)	1987	ENSMUST00000089906.6	ENSMUST00000089906	ENSMUST00000089906						NA
H3K9me3_i71_peak_2070	chr17	22209789	22211137	+	72	NA	intron (ENSMUST00000179996.2, intron 2 of 4)	-intron (ENSMUST00000179996.2, intron 2 of 4)	15153	ENSMUST00000179996.2	ENSMUST00000179996	ENSMUST00000179996						NA
H3K9me3_i71_peak_1560	chr13	113908798	113909108	+	72	NA	intron (ENSMUST00000224858.1, intron 2 of 5)	-intron (ENSMUST00000091201.6, intron 1 of 4)	114331	ENSMUST00000224068.1	ENSMUST00000224068	ENSMUST00000224068						NA
H3K9me3_i71_peak_3914	chr5	137152170	137153022	+	71	NA	Intergenic	Intergenic	-3274	ENSMUST00000041226.9	ENSMUST00000041226	ENSMUST00000041226						NA
H3K9me3_i71_peak_896	chr11	114979603	114980571	+	71	NA	Intergenic	Intergenic	9835	ENSMUST00000045075.2	ENSMUST00000045075	ENSMUST00000045075						NA
H3K9me3_i71_peak_2042	chr17	21981635	21982196	+	71	NA	intron (ENSMUST00000174015.7, intron 1 of 5)	-intron (ENSMUST00000055349.14, intron 1 of 3)	-13121	ENSMUST00000232730.1	ENSMUST00000232730	ENSMUST00000232730						NA
H3K9me3_i71_peak_1231	chr13	12939604	12939840	+	71	NA	Intergenic	Intergenic	-21757	ENSMUST00000222079.1	ENSMUST00000222079	ENSMUST00000222079						NA
H3K9me3_i71_peak_1538	chr13	91053163	91053573	+	71	NA	intron (ENSMUST00000022119.5, intron 3 of 7)	-intron (ENSMUST00000022119.5, intron 3 of 7)	72242	ENSMUST00000223729.1	ENSMUST00000223729	ENSMUST00000223729						NA
H3K9me3_i71_peak_3914-2	chr5	137152170	137153022	+	71	NA	Intergenic	Intergenic	-3274	ENSMUST00000041226.9	ENSMUST00000041226	ENSMUST00000041226						NA
H3K9me3_i71_peak_2145	chr17	33018236	33020259	+	71	NA	TTS (ENSMUST00000124465.1)	-TTS (ENSMUST00000124465.1)	13921	ENSMUST00000124465.1	ENSMUST00000124465	ENSMUST00000124465						NA
H3K9me3_i71_peak_4405	chr7	39476313	39477119	+	71	NA	intron (ENSMUST00000186855.5, intron 5 of 5)	-intron (ENSMUST00000186855.5, intron 5 of 5)	-12722	ENSMUST00000189105.1	ENSMUST00000189105	ENSMUST00000189105						NA
H3K9me3_i71_peak_297	chr1	177750428	177751004	+	71	NA	intron (ENSMUST00000016106.5, intron 4 of 5)	-intron (ENSMUST00000016106.5, intron 4 of 5)	17885	ENSMUST00000159184.1	ENSMUST00000159184	ENSMUST00000159184						NA
H3K9me3_i71_peak_5053	chr9	49951372	49952338	+	71	NA	Intergenic	Intergenic	-3023	ENSMUST00000215094.1	ENSMUST00000215094	ENSMUST00000215094						NA
H3K9me3_i71_peak_4189	chr7	6316299	6317433	+	70	NA	TTS (ENSMUST00000123868.7)	-TTS (ENSMUST00000123868.7)	12397	ENSMUST00000165705.7	ENSMUST00000165705	ENSMUST00000165705						NA
H3K9me3_i71_peak_2215	chr17	56493711	56495213	+	70	NA	Intergenic	Intergenic	17969	ENSMUST00000052211.3	ENSMUST00000052211	ENSMUST00000052211						NA
H3K9me3_i71_peak_2067	chr17	22195972	22197025	+	70	NA	TTS (ENSMUST00000179996.2)	-TTS (ENSMUST00000179996.2)	-10390	ENSMUST00000233487.1	ENSMUST00000233487	ENSMUST00000233487						NA
H3K9me3_i71_peak_5127	chr9	109542825	109543084	+	70	NA	promoter-TSS (ENSMUST00000199162.1)	-promoter-TSS (ENSMUST00000199162.1)	-41	ENSMUST00000199162.1	ENSMUST00000199162	ENSMUST00000199162						NA
H3K9me3_i71_peak_1168	chr12	106338822	106339466	+	70	NA	Intergenic	Intergenic	11776	ENSMUST00000164367.1	ENSMUST00000164367	ENSMUST00000164367						NA
H3K9me3_i71_peak_2869	chr2	150125706	150127207	+	70	NA	intron (ENSMUST00000142792.1, intron 1 of 2)	-intron (ENSMUST00000089207.12, intron 1 of 3)	10186	ENSMUST00000094538.5	ENSMUST00000094538	ENSMUST00000094538						NA
H3K9me3_i71_peak_2707	chr2	19216725	19217107	+	70	NA	intron (ENSMUST00000114640.8, intron 2 of 19)	-intron (ENSMUST00000049255.6, intron 2 of 18)	17614	ENSMUST00000049255.6	ENSMUST00000049255	ENSMUST00000049255						NA
H3K9me3_i71_peak_1798	chr15	98275287	98275767	+	69	NA	Intergenic	Intergenic	-18234	ENSMUST00000060855.6	ENSMUST00000060855	ENSMUST00000060855						NA
