#overlapped_WTuntr_H3K27ac Enhancers
#Created from WTuntr_SE/overlapped_WTuntr_H3K27ac_12KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by WTuntr_merged.bam
#Using cutoff of 10679.2405 for Super-Enhancers
#Created on Νοε 24 2021 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	WTuntr_merged.bam	WTuntr_Input_merged.bam	enhancerRank	isSuper
25_WTuntr_H3K27ac_rep_A_peak_8316_lociStitched	chr15	58975017	59082565	25	55689	116237.8784	20713.7448	1	1
31_WTuntr_H3K27ac_rep_A_peak_7088_lociStitched	chr14	25450676	25540885	31	41288	103172.0333	18465.7823	2	1
12_WTuntr_H3K27ac_rep_A_peak_13139_lociStitched	chr2	27539889	27601748	12	29272	76680.4164	11332.5688	3	1
9_WTuntr_H3K27ac_rep_A_peak_21245_lociStitched	chr7	19664478	19716214	9	29854	70081.5856	9622.896	4	1
12_WTuntr_H3K27ac_rep_A_peak_21704_lociStitched	chr7	63894949	63940033	12	28088	68775.642	8480.3004	5	1
18_WTuntr_H3K27ac_rep_A_peak_16273_lociStitched	chr4	45452206	45532306	18	39229	74484.99	15995.97	6	1
6_WTuntr_H3K27ac_rep_A_peak_21511_lociStitched	chr7	35115991	35150760	6	25972	65490.8884	7259.7672	7	1
18_WTuntr_H3K27ac_rep_A_peak_11889_lociStitched	chr18	84848289	84922537	18	32818	67528.556	11434.192	8	1
9_WTuntr_H3K27ac_rep_A_peak_19266_lociStitched	chr5	139325049	139390162	9	32846	68726.7715	13055.1565	9	1
9_WTuntr_H3K27ac_rep_A_peak_19318_lociStitched	chr5	140790826	140830420	9	28612	61643.8986	7206.108	10	1
7_WTuntr_H3K27ac_rep_A_peak_5431_lociStitched	chr12	80102582	80147148	7	21133	62035.872	7839.1594	11	1
6_WTuntr_H3K27ac_rep_A_peak_24548_lociStitched	chr9	46195887	46241739	6	27777	61895.6148	8986.992	12	1
15_WTuntr_H3K27ac_rep_A_peak_14627_lociStitched	chr2	167799065	167865001	15	31782	63021.6288	12633.3376	13	1
5_WTuntr_H3K27ac_rep_A_peak_12304_lociStitched	chr19	23125396	23150234	5	12656	54089.7126	4316.8444	14	1
14_WTuntr_H3K27ac_rep_A_peak_2229_lociStitched	chr10	80095006	80173661	14	25491	64898.2405	15487.1695	15	1
7_WTuntr_H3K27ac_rep_A_peak_25516_lociStitched	chr9	121881130	121927463	7	21433	57086.8893	8010.9757	16	1
12_WTuntr_H3K27ac_rep_A_peak_17703_lociStitched	chr4	150684319	150757539	12	22879	61570.698	12894.042	17	1
9_WTuntr_H3K27ac_rep_A_peak_8701_lociStitched	chr15	81830711	81882940	9	22196	57504.129	8988.6109	18	1
11_WTuntr_H3K27ac_rep_A_peak_8817_lociStitched	chr15	85702343	85755834	11	26959	57037.4533	9713.9656	19	1
18_WTuntr_H3K27ac_rep_A_peak_8723_lociStitched	chr15	82375844	82459164	18	26373	57332.492	11006.572	20	1
10_WTuntr_H3K27ac_rep_A_peak_20257_lociStitched	chr6	90450442	90493048	10	16256	53819.8992	7950.2796	21	1
14_WTuntr_H3K27ac_rep_A_peak_23214_lociStitched	chr8	70506380	70565078	14	23048	58017.1032	12408.7572	22	1
14_WTuntr_H3K27ac_rep_A_peak_455_lociStitched	chr1	74007955	74082866	14	26634	60078.622	14585.1717	23	1
3_WTuntr_H3K27ac_rep_A_peak_11234_lociStitched	chr18	12633993	12654433	3	19180	48710.564	3393.04	24	1
6_WTuntr_H3K27ac_rep_A_peak_14505_lociStitched	chr2	164420841	164461431	6	26167	52174.386	7476.678	25	1
15_WTuntr_H3K27ac_rep_A_peak_4852_lociStitched	chr11	120457520	120550247	15	23783	63517.995	18851.3991	26	1
9_WTuntr_H3K27ac_rep_A_peak_1433_lociStitched	chr1	184807441	184854166	9	20035	52490.865	8569.365	27	1
10_WTuntr_H3K27ac_rep_A_peak_2334_lociStitched	chr10	81377983	81435560	10	25519	55089.6736	11296.6074	28	1
10_WTuntr_H3K27ac_rep_A_peak_12052_lociStitched	chr19	5800161	5850778	10	26388	53578.0945	9880.4384	29	1
7_WTuntr_H3K27ac_rep_A_peak_14346_lociStitched	chr2	155050252	155103129	7	23608	52194.8867	8782.8697	30	1
